country,city,general
Panama,Nuevo Emperador,"Nuevo Emperador, Panama"
El Salvador,Berlín,"Berlín, El Salvador"
United States,Charleston,"Charleston, United States"
United States,Sparks,"Sparks, United States"
Mexico,Linda Vista,"Linda Vista, Mexico"
Nicaragua,La Libertad,"La Libertad, Nicaragua"
United States,Columbus,"Columbus, United States"
Mexico,Fovissste,"Fovissste, Mexico"
Mexico,Venustiano Carranza,"Venustiano Carranza, Mexico"
Mexico,Francisco Villa,"Francisco Villa, Mexico"
Mexico,El Salitre,"El Salitre, Mexico"
Mexico,San Isidro,"San Isidro, Mexico"
Guatemala,Mazatenango,"Mazatenango, Guatemala"
Mexico,El Refugio,"El Refugio, Mexico"
United States,Denver,"Denver, United States"
Mexico,Libertad,"Libertad, Mexico"
United States,Oklahoma City,"Oklahoma City, United States"
Guatemala,Santa Apolonia,"Santa Apolonia, Guatemala"
United States,Humble,"Humble, United States"
El Salvador,Santiago Nonualco,"Santiago Nonualco, El Salvador"
Mexico,Buenavista,"Buenavista, Mexico"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
United States,Pinellas Park,"Pinellas Park, United States"
Mexico,El Calvario,"El Calvario, Mexico"
Nicaragua,La Concepción,"La Concepción, Nicaragua"
Mexico,San Francisco,"San Francisco, Mexico"
United States,Houston,"Houston, United States"
United States,Fullerton,"Fullerton, United States"
Guatemala,Huité,"Huité, Guatemala"
Nicaragua,Managua,"Managua, Nicaragua"
Spain,Palma De Mallorca,"Palma De Mallorca, Spain"
United States,Beaverton,"Beaverton, United States"
United States,Huntington,"Huntington, United States"
Honduras,Las Lajas,"Las Lajas, Honduras"
United States,Reading,"Reading, United States"
Panama,La Palma,"La Palma, Panama"
United States,Kingsport,"Kingsport, United States"
Mexico,Francisco Villa,"Francisco Villa, Mexico"
Mexico,Petrolera,"Petrolera, Mexico"
Honduras,Trujillo,"Trujillo, Honduras"
United States,Independence,"Independence, United States"
United States,Wilmington,"Wilmington, United States"
Nicaragua,Boaco,"Boaco, Nicaragua"
United States,Pittsburgh,"Pittsburgh, United States"
United States,Shreveport,"Shreveport, United States"
El Salvador,Lolotique,"Lolotique, El Salvador"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Honduras,Azacualpa,"Azacualpa, Honduras"
Panama,Pacora,"Pacora, Panama"
Mexico,Rancho Nuevo,"Rancho Nuevo, Mexico"
United States,El Paso,"El Paso, United States"
United States,Cincinnati,"Cincinnati, United States"
Spain,Valladolid,"Valladolid, Spain"
Panama,David,"David, Panama"
El Salvador,Berlín,"Berlín, El Salvador"
Mexico,Santa Cruz,"Santa Cruz, Mexico"
United States,Largo,"Largo, United States"
Mexico,Anahuac,"Anahuac, Mexico"
Mexico,Independencia,"Independencia, Mexico"
Spain,Santiago De Compostela,"Santiago De Compostela, Spain"
United States,Houston,"Houston, United States"
United States,Toledo,"Toledo, United States"
Mexico,Isidro Fabela,"Isidro Fabela, Mexico"
United States,Richmond,"Richmond, United States"
United States,West Palm Beach,"West Palm Beach, United States"
United States,Melbourne,"Melbourne, United States"
Honduras,Salamá,"Salamá, Honduras"
Guatemala,San Juan Ermita,"San Juan Ermita, Guatemala"
Mexico,Vista Hermosa,"Vista Hermosa, Mexico"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
United States,Austin,"Austin, United States"
United States,New York City,"New York City, United States"
United States,Schaumburg,"Schaumburg, United States"
Mexico,Revolucion Verde,"Revolucion Verde, Mexico"
Guatemala,San Luis Ixcán,"San Luis Ixcán, Guatemala"
El Salvador,El Congo,"El Congo, El Salvador"
United States,Charleston,"Charleston, United States"
Honduras,Pueblo Nuevo,"Pueblo Nuevo, Honduras"
Panama,Llano de Piedra,"Llano de Piedra, Panama"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
United States,Melbourne,"Melbourne, United States"
Costa Rica,Cañas,"Cañas, Costa Rica"
Costa Rica,San Francisco,"San Francisco, Costa Rica"
Guatemala,Cunén,"Cunén, Guatemala"
Guatemala,Puerto Barrios,"Puerto Barrios, Guatemala"
United States,San Rafael,"San Rafael, United States"
United States,Tampa,"Tampa, United States"
United States,Charlotte,"Charlotte, United States"
United States,Lexington,"Lexington, United States"
United States,Sacramento,"Sacramento, United States"
United States,El Paso,"El Paso, United States"
Costa Rica,Bejuco,"Bejuco, Costa Rica"
United States,Stamford,"Stamford, United States"
United States,Trenton,"Trenton, United States"
Mexico,Morelos,"Morelos, Mexico"
United States,Washington,"Washington, United States"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
Costa Rica,Colima,"Colima, Costa Rica"
United States,Pasadena,"Pasadena, United States"
United States,Atlanta,"Atlanta, United States"
United States,Knoxville,"Knoxville, United States"
Guatemala,Jalpatagua,"Jalpatagua, Guatemala"
Mexico,Ricardo Flores Magon,"Ricardo Flores Magon, Mexico"
El Salvador,Metapán,"Metapán, El Salvador"
United States,Orlando,"Orlando, United States"
Mexico,Venustiano Carranza,"Venustiano Carranza, Mexico"
United States,Flushing,"Flushing, United States"
United States,Scottsdale,"Scottsdale, United States"
United States,Tulsa,"Tulsa, United States"
Guatemala,Barberena,"Barberena, Guatemala"
Costa Rica,Cañas,"Cañas, Costa Rica"
United States,Grand Rapids,"Grand Rapids, United States"
Panama,Cartí Suitupo,"Cartí Suitupo, Panama"
Honduras,Santa Rosa de Copán,"Santa Rosa de Copán, Honduras"
Nicaragua,Comalapa,"Comalapa, Nicaragua"
Mexico,Belisario Dominguez,"Belisario Dominguez, Mexico"
Mexico,Jose Maria Morelos,"Jose Maria Morelos, Mexico"
Honduras,Ojos de Agua,"Ojos de Agua, Honduras"
Panama,La Loma,"La Loma, Panama"
United States,Monroe,"Monroe, United States"
Panama,Pueblo Nuevo,"Pueblo Nuevo, Panama"
United States,Minneapolis,"Minneapolis, United States"
Mexico,Guadalupe,"Guadalupe, Mexico"
Mexico,Obrera,"Obrera, Mexico"
United States,Indianapolis,"Indianapolis, United States"
Costa Rica,Colima,"Colima, Costa Rica"
Mexico,La Paz,"La Paz, Mexico"
United States,Phoenix,"Phoenix, United States"
Spain,Madrid,"Madrid, Spain"
United States,Alexandria,"Alexandria, United States"
Panama,Paraíso,"Paraíso, Panama"
Mexico,Guadalupe,"Guadalupe, Mexico"
United States,Sacramento,"Sacramento, United States"
United States,Madison,"Madison, United States"
United States,Aurora,"Aurora, United States"
Mexico,Hidalgo,"Hidalgo, Mexico"
Spain,Tarragona,"Tarragona, Spain"
United States,Washington,"Washington, United States"
United States,Washington,"Washington, United States"
Guatemala,Chuarrancho,"Chuarrancho, Guatemala"
United States,Tempe,"Tempe, United States"
Mexico,Venustiano Carranza,"Venustiano Carranza, Mexico"
Guatemala,San Antonio Suchitepéquez,"San Antonio Suchitepéquez, Guatemala"
Costa Rica,Colima,"Colima, Costa Rica"
Honduras,Araulí,"Araulí, Honduras"
Mexico,Buenavista,"Buenavista, Mexico"
Panama,Guadalupe,"Guadalupe, Panama"
Costa Rica,Turrialba,"Turrialba, Costa Rica"
United States,Richmond,"Richmond, United States"
United States,Albany,"Albany, United States"
United States,Amarillo,"Amarillo, United States"
United States,Charlotte,"Charlotte, United States"
United States,Omaha,"Omaha, United States"
Mexico,Guadalupe,"Guadalupe, Mexico"
United States,Honolulu,"Honolulu, United States"
United States,Milwaukee,"Milwaukee, United States"
Guatemala,El Jícaro,"El Jícaro, Guatemala"
United States,Huntsville,"Huntsville, United States"
United States,Irving,"Irving, United States"
Honduras,Agua Fría,"Agua Fría, Honduras"
United States,San Francisco,"San Francisco, United States"
Honduras,Concordia,"Concordia, Honduras"
United States,Naples,"Naples, United States"
Mexico,San Marcos,"San Marcos, Mexico"
Mexico,Jardin,"Jardin, Mexico"
Nicaragua,Managua,"Managua, Nicaragua"
United States,Humble,"Humble, United States"
United States,Knoxville,"Knoxville, United States"
United States,Carson City,"Carson City, United States"
Panama,David,"David, Panama"
United States,Dallas,"Dallas, United States"
Panama,Pueblo Nuevo,"Pueblo Nuevo, Panama"
United States,Fresno,"Fresno, United States"
United States,Oakland,"Oakland, United States"
Honduras,Corquín,"Corquín, Honduras"
Spain,Santa Cruz De Tenerife,"Santa Cruz De Tenerife, Spain"
Nicaragua,Larreynaga,"Larreynaga, Nicaragua"
United States,Lafayette,"Lafayette, United States"
Mexico,Independencia,"Independencia, Mexico"
United States,Gainesville,"Gainesville, United States"
United States,Newark,"Newark, United States"
United States,Van Nuys,"Van Nuys, United States"
Spain,Santiago De Compostela,"Santiago De Compostela, Spain"
United States,Saint Joseph,"Saint Joseph, United States"
Guatemala,El Quetzal,"El Quetzal, Guatemala"
Mexico,Lindavista,"Lindavista, Mexico"
Mexico,San Antonio,"San Antonio, Mexico"
Honduras,Baja Mar,"Baja Mar, Honduras"
Panama,Chepo,"Chepo, Panama"
United States,Lawrenceville,"Lawrenceville, United States"
United States,Saint Louis,"Saint Louis, United States"
Mexico,Ejidal,"Ejidal, Mexico"
United States,Danbury,"Danbury, United States"
Panama,Pacora,"Pacora, Panama"
Honduras,Amapala,"Amapala, Honduras"
United States,Staten Island,"Staten Island, United States"
Guatemala,La Reforma,"La Reforma, Guatemala"
Honduras,La Sarrosa,"La Sarrosa, Honduras"
Costa Rica,Quesada,"Quesada, Costa Rica"
Guatemala,Jerez,"Jerez, Guatemala"
Guatemala,San Rafael Petzal,"San Rafael Petzal, Guatemala"
Guatemala,San Juan Sacatepéquez,"San Juan Sacatepéquez, Guatemala"
Nicaragua,La Libertad,"La Libertad, Nicaragua"
Mexico,Las Flores,"Las Flores, Mexico"
Mexico,Guadalupe,"Guadalupe, Mexico"
Spain,Lleida,"Lleida, Spain"
Guatemala,Acatenango,"Acatenango, Guatemala"
Mexico,San Jose,"San Jose, Mexico"
Honduras,La Libertad,"La Libertad, Honduras"
Mexico,San Sebastian,"San Sebastian, Mexico"
Guatemala,Esquipulas,"Esquipulas, Guatemala"
Nicaragua,Yalagüina,"Yalagüina, Nicaragua"
United States,Miami Beach,"Miami Beach, United States"
United States,Kansas City,"Kansas City, United States"
Italy,Pescara,"Pescara, Italy"
Nicaragua,León,"León, Nicaragua"
Guatemala,Chuarrancho,"Chuarrancho, Guatemala"
Costa Rica,Guadalupe,"Guadalupe, Costa Rica"
United States,Pittsburgh,"Pittsburgh, United States"
United States,Hicksville,"Hicksville, United States"
Guatemala,San Lorenzo,"San Lorenzo, Guatemala"
Nicaragua,Masaya,"Masaya, Nicaragua"
Mexico,San Cristobal,"San Cristobal, Mexico"
Panama,La Mesa,"La Mesa, Panama"
Mexico,San Rafael,"San Rafael, Mexico"
Panama,Chepo,"Chepo, Panama"
Mexico,Venustiano Carranza,"Venustiano Carranza, Mexico"
El Salvador,El Paisnal,"El Paisnal, El Salvador"
Honduras,Nacaome,"Nacaome, Honduras"
United States,Irving,"Irving, United States"
United States,Baltimore,"Baltimore, United States"
El Salvador,Ozatlán,"Ozatlán, El Salvador"
United States,Flushing,"Flushing, United States"
Mexico,Buenos Aires,"Buenos Aires, Mexico"
Honduras,Cucuyagua,"Cucuyagua, Honduras"
United States,Greensboro,"Greensboro, United States"
Nicaragua,Siuna,"Siuna, Nicaragua"
Honduras,El Tránsito,"El Tránsito, Honduras"
United States,Columbus,"Columbus, United States"
United States,Amarillo,"Amarillo, United States"
United States,Odessa,"Odessa, United States"
United States,Tulsa,"Tulsa, United States"
Spain,Pontevedra,"Pontevedra, Spain"
Mexico,Lindavista,"Lindavista, Mexico"
United States,Garden Grove,"Garden Grove, United States"
United States,Houston,"Houston, United States"
Mexico,Independencia,"Independencia, Mexico"
United States,Baltimore,"Baltimore, United States"
United States,San Francisco,"San Francisco, United States"
Costa Rica,San Isidro,"San Isidro, Costa Rica"
United States,Los Angeles,"Los Angeles, United States"
Mexico,Morelos,"Morelos, Mexico"
Guatemala,Santa Cruz Balanyá,"Santa Cruz Balanyá, Guatemala"
United States,High Point,"High Point, United States"
Panama,Río Sereno,"Río Sereno, Panama"
United States,New York City,"New York City, United States"
United States,Tacoma,"Tacoma, United States"
United States,Oakland,"Oakland, United States"
Spain,Barcelona,"Barcelona, Spain"
Guatemala,San Juan Atitán,"San Juan Atitán, Guatemala"
Costa Rica,Chacarita,"Chacarita, Costa Rica"
United States,Philadelphia,"Philadelphia, United States"
Mexico,San Isidro,"San Isidro, Mexico"
United States,Albany,"Albany, United States"
Costa Rica,La Cruz,"La Cruz, Costa Rica"
Honduras,El Triunfo,"El Triunfo, Honduras"
United States,Atlanta,"Atlanta, United States"
Mexico,El Paraiso,"El Paraiso, Mexico"
United States,Stamford,"Stamford, United States"
United States,Washington,"Washington, United States"
United States,Tulsa,"Tulsa, United States"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
United States,Stamford,"Stamford, United States"
United States,Norwalk,"Norwalk, United States"
United States,Kansas City,"Kansas City, United States"
Costa Rica,San Felipe,"San Felipe, Costa Rica"
Italy,Torino,"Torino, Italy"
United States,Birmingham,"Birmingham, United States"
Guatemala,Yupiltepeque,"Yupiltepeque, Guatemala"
United States,Pittsburgh,"Pittsburgh, United States"
United States,Virginia Beach,"Virginia Beach, United States"
United States,Memphis,"Memphis, United States"
Mexico,Miguel Hidalgo,"Miguel Hidalgo, Mexico"
United States,Conroe,"Conroe, United States"
United States,Greensboro,"Greensboro, United States"
United States,Houston,"Houston, United States"
Panama,Gómez,"Gómez, Panama"
United States,Canton,"Canton, United States"
United States,Augusta,"Augusta, United States"
Panama,Calzada Larga,"Calzada Larga, Panama"
Spain,"Palmas De Gran Canaria, Las","Palmas De Gran Canaria, Las, Spain"
Honduras,Morazán,"Morazán, Honduras"
United States,Huntington,"Huntington, United States"
Mexico,Fovissste,"Fovissste, Mexico"
El Salvador,San Sebastián,"San Sebastián, El Salvador"
Mexico,Alvaro Obregon,"Alvaro Obregon, Mexico"
United States,Muskegon,"Muskegon, United States"
Guatemala,Mazatenango,"Mazatenango, Guatemala"
Mexico,Morelos,"Morelos, Mexico"
Guatemala,San José Poaquil,"San José Poaquil, Guatemala"
Mexico,San Luis,"San Luis, Mexico"
Nicaragua,Río Blanco,"Río Blanco, Nicaragua"
Guatemala,San Manuel Chaparrón,"San Manuel Chaparrón, Guatemala"
United States,Jacksonville,"Jacksonville, United States"
Costa Rica,Guadalupe,"Guadalupe, Costa Rica"
United States,Cincinnati,"Cincinnati, United States"
Spain,"Hospitalet De Llobregat, L'","Hospitalet De Llobregat, L', Spain"
United States,Pittsburgh,"Pittsburgh, United States"
El Salvador,San Marcos,"San Marcos, El Salvador"
Spain,"Coruña, A","Coruña, A, Spain"
United States,Gainesville,"Gainesville, United States"
United States,Dallas,"Dallas, United States"
Costa Rica,Calle Blancos,"Calle Blancos, Costa Rica"
Mexico,Nueva Esperanza,"Nueva Esperanza, Mexico"
United States,Boston,"Boston, United States"
United States,Wichita,"Wichita, United States"
United States,Tulsa,"Tulsa, United States"
Panama,Sioguí Abajo,"Sioguí Abajo, Panama"
Mexico,20 de Noviembre,"20 de Noviembre, Mexico"
Italy,Napoli,"Napoli, Italy"
Mexico,Santa Elena,"Santa Elena, Mexico"
Mexico,La Palma,"La Palma, Mexico"
Mexico,Vicente Guerrero,"Vicente Guerrero, Mexico"
Mexico,Guadalupe,"Guadalupe, Mexico"
Guatemala,Pajapita,"Pajapita, Guatemala"
Costa Rica,Pocora,"Pocora, Costa Rica"
United States,Huntington Beach,"Huntington Beach, United States"
Mexico,Jose Maria Morelos,"Jose Maria Morelos, Mexico"
Nicaragua,Nueva Guinea,"Nueva Guinea, Nicaragua"
Guatemala,San Antonio Huista,"San Antonio Huista, Guatemala"
Costa Rica,Alajuela,"Alajuela, Costa Rica"
United States,Boston,"Boston, United States"
Spain,Teruel,"Teruel, Spain"
Spain,Sabadell,"Sabadell, Spain"
United States,Los Angeles,"Los Angeles, United States"
Italy,Palermo,"Palermo, Italy"
Mexico,Hidalgo,"Hidalgo, Mexico"
United States,Evansville,"Evansville, United States"
Nicaragua,Rama,"Rama, Nicaragua"
United States,New York City,"New York City, United States"
Guatemala,La Gomera,"La Gomera, Guatemala"
United States,Miami,"Miami, United States"
Nicaragua,Las Sabanas,"Las Sabanas, Nicaragua"
United States,Buffalo,"Buffalo, United States"
United States,Chicago,"Chicago, United States"
United States,Midland,"Midland, United States"
Mexico,Cuauhtemoc,"Cuauhtemoc, Mexico"
United States,Beaufort,"Beaufort, United States"
United States,Austin,"Austin, United States"
United States,Lancaster,"Lancaster, United States"
United States,Washington,"Washington, United States"
Guatemala,Morales,"Morales, Guatemala"
Honduras,La Sarrosa,"La Sarrosa, Honduras"
Italy,Perugia,"Perugia, Italy"
United States,New Brunswick,"New Brunswick, United States"
United States,Bronx,"Bronx, United States"
United States,Naperville,"Naperville, United States"
Spain,"Palmas De Gran Canaria, Las","Palmas De Gran Canaria, Las, Spain"
United States,Midland,"Midland, United States"
Costa Rica,San José,"San José, Costa Rica"
United States,Louisville,"Louisville, United States"
Nicaragua,Dolores,"Dolores, Nicaragua"
United States,Schaumburg,"Schaumburg, United States"
Honduras,Peña Blanca,"Peña Blanca, Honduras"
Mexico,Buenos Aires,"Buenos Aires, Mexico"
Costa Rica,Esquipulas,"Esquipulas, Costa Rica"
Mexico,Infonavit,"Infonavit, Mexico"
Mexico,La Aurora,"La Aurora, Mexico"
Mexico,La Libertad,"La Libertad, Mexico"
United States,Omaha,"Omaha, United States"
Mexico,Chapultepec,"Chapultepec, Mexico"
Honduras,Bálsamo Oriental,"Bálsamo Oriental, Honduras"
Mexico,Santa Clara,"Santa Clara, Mexico"
United States,Hartford,"Hartford, United States"
Panama,Quebrada Canoa,"Quebrada Canoa, Panama"
United States,Bellevue,"Bellevue, United States"
United States,Grand Rapids,"Grand Rapids, United States"
El Salvador,Berlín,"Berlín, El Salvador"
Honduras,El Paraíso,"El Paraíso, Honduras"
Costa Rica,San José,"San José, Costa Rica"
Nicaragua,El Sauce,"El Sauce, Nicaragua"
United States,Nashville,"Nashville, United States"
United States,Montgomery,"Montgomery, United States"
Honduras,San Lorenzo,"San Lorenzo, Honduras"
Mexico,Rancho Nuevo,"Rancho Nuevo, Mexico"
United States,San Antonio,"San Antonio, United States"
United States,Pensacola,"Pensacola, United States"
Guatemala,San Cristóbal Cucho,"San Cristóbal Cucho, Guatemala"
Mexico,San Isidro,"San Isidro, Mexico"
United States,Honolulu,"Honolulu, United States"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
Mexico,Bellavista,"Bellavista, Mexico"
Spain,Lleida,"Lleida, Spain"
United States,Evansville,"Evansville, United States"
Mexico,La Soledad,"La Soledad, Mexico"
United States,New Orleans,"New Orleans, United States"
United States,Oakland,"Oakland, United States"
United States,Monticello,"Monticello, United States"
Mexico,Santa Maria,"Santa Maria, Mexico"
Panama,Changuinola,"Changuinola, Panama"
Honduras,Lepaterique,"Lepaterique, Honduras"
United States,Tulsa,"Tulsa, United States"
United States,Huntington,"Huntington, United States"
United States,Erie,"Erie, United States"
United States,Pasadena,"Pasadena, United States"
Guatemala,Pochuta,"Pochuta, Guatemala"
United States,Mobile,"Mobile, United States"
United States,Pittsburgh,"Pittsburgh, United States"
Mexico,San Rafael,"San Rafael, Mexico"
United States,Atlanta,"Atlanta, United States"
Panama,Agua Buena,"Agua Buena, Panama"
United States,Toledo,"Toledo, United States"
Spain,Leon,"Leon, Spain"
Costa Rica,San José,"San José, Costa Rica"
Honduras,Petoa,"Petoa, Honduras"
Spain,Sabadell,"Sabadell, Spain"
Guatemala,Patzicía,"Patzicía, Guatemala"
Mexico,Santa Maria,"Santa Maria, Mexico"
United States,Santa Fe,"Santa Fe, United States"
United States,Charlotte,"Charlotte, United States"
Nicaragua,Niquinohomo,"Niquinohomo, Nicaragua"
United States,Daytona Beach,"Daytona Beach, United States"
Panama,San Ignacio de Tupile,"San Ignacio de Tupile, Panama"
United States,High Point,"High Point, United States"
Honduras,San José de Comayagua,"San José de Comayagua, Honduras"
Costa Rica,Bejuco,"Bejuco, Costa Rica"
Mexico,Las Flores,"Las Flores, Mexico"
Panama,Pacora,"Pacora, Panama"
Costa Rica,Pejibaye,"Pejibaye, Costa Rica"
Honduras,Agalteca,"Agalteca, Honduras"
United States,Lancaster,"Lancaster, United States"
Honduras,El Triunfo de la Cruz,"El Triunfo de la Cruz, Honduras"
United States,Tampa,"Tampa, United States"
Spain,Castellon De La Plana/Castello De La Pla,"Castellon De La Plana/Castello De La Pla, Spain"
United States,Richmond,"Richmond, United States"
United States,Chicago,"Chicago, United States"
Honduras,El Lolo,"El Lolo, Honduras"
United States,Saint Louis,"Saint Louis, United States"
Mexico,Los Pinos,"Los Pinos, Mexico"
Spain,Albacete,"Albacete, Spain"
Costa Rica,Esquipulas,"Esquipulas, Costa Rica"
El Salvador,Zacatecoluca,"Zacatecoluca, El Salvador"
Guatemala,Santa María de Jesús,"Santa María de Jesús, Guatemala"
United States,Fort Worth,"Fort Worth, United States"
United States,Charleston,"Charleston, United States"
United States,New Bedford,"New Bedford, United States"
Mexico,El Tejocote,"El Tejocote, Mexico"
United States,El Paso,"El Paso, United States"
United States,Birmingham,"Birmingham, United States"
United States,Iowa City,"Iowa City, United States"
United States,Maple Plain,"Maple Plain, United States"
United States,Tulsa,"Tulsa, United States"
Guatemala,San Agustín Acasaguastlán,"San Agustín Acasaguastlán, Guatemala"
Mexico,El Rosario,"El Rosario, Mexico"
Mexico,Nueva Esperanza,"Nueva Esperanza, Mexico"
Panama,La Palma,"La Palma, Panama"
Guatemala,San Marcos,"San Marcos, Guatemala"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Nicaragua,El Viejo,"El Viejo, Nicaragua"
Nicaragua,El Rosario,"El Rosario, Nicaragua"
United States,Carson City,"Carson City, United States"
Guatemala,Cabricán,"Cabricán, Guatemala"
Honduras,Goascorán,"Goascorán, Honduras"
United States,Carson City,"Carson City, United States"
United States,Augusta,"Augusta, United States"
Mexico,La Soledad,"La Soledad, Mexico"
Honduras,El Triunfo de la Cruz,"El Triunfo de la Cruz, Honduras"
Honduras,Yaruchel,"Yaruchel, Honduras"
Guatemala,Santa Cruz del Quiché,"Santa Cruz del Quiché, Guatemala"
United States,Pasadena,"Pasadena, United States"
Mexico,Vista Hermosa,"Vista Hermosa, Mexico"
Guatemala,San Agustín Acasaguastlán,"San Agustín Acasaguastlán, Guatemala"
Honduras,La Esperanza,"La Esperanza, Honduras"
Honduras,Armenia,"Armenia, Honduras"
Mexico,La Loma,"La Loma, Mexico"
Honduras,Ilama,"Ilama, Honduras"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
United States,Seattle,"Seattle, United States"
Guatemala,San Pedro Carchá,"San Pedro Carchá, Guatemala"
Honduras,Támara,"Támara, Honduras"
Honduras,Cololaca,"Cololaca, Honduras"
United States,Roanoke,"Roanoke, United States"
Mexico,San Jose,"San Jose, Mexico"
Honduras,Quimistán,"Quimistán, Honduras"
Mexico,Miguel Hidalgo,"Miguel Hidalgo, Mexico"
Mexico,Petrolera,"Petrolera, Mexico"
Guatemala,Jerez,"Jerez, Guatemala"
Nicaragua,Dolores,"Dolores, Nicaragua"
United States,Fresno,"Fresno, United States"
United States,El Paso,"El Paso, United States"
United States,Springfield,"Springfield, United States"
Mexico,San Martin,"San Martin, Mexico"
Mexico,Buenos Aires,"Buenos Aires, Mexico"
Guatemala,El Estor,"El Estor, Guatemala"
United States,Waterbury,"Waterbury, United States"
Italy,Laspezia,"Laspezia, Italy"
United States,Fullerton,"Fullerton, United States"
United States,Torrance,"Torrance, United States"
Nicaragua,Tipitapa,"Tipitapa, Nicaragua"
United States,Stamford,"Stamford, United States"
Honduras,Quimistán,"Quimistán, Honduras"
Costa Rica,San Francisco,"San Francisco, Costa Rica"
Mexico,La Esperanza,"La Esperanza, Mexico"
Mexico,Francisco I Madero,"Francisco I Madero, Mexico"
United States,Sioux Falls,"Sioux Falls, United States"
Spain,Cartagena,"Cartagena, Spain"
Mexico,20 de Noviembre,"20 de Noviembre, Mexico"
Panama,La Palma,"La Palma, Panama"
United States,Stamford,"Stamford, United States"
United States,Lexington,"Lexington, United States"
Honduras,Santa Lucía,"Santa Lucía, Honduras"
United States,Detroit,"Detroit, United States"
United States,New Bedford,"New Bedford, United States"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
Spain,Cadiz,"Cadiz, Spain"
Nicaragua,El Crucero,"El Crucero, Nicaragua"
Mexico,Guadalupe,"Guadalupe, Mexico"
Mexico,Francisco I Madero,"Francisco I Madero, Mexico"
United States,Baltimore,"Baltimore, United States"
Panama,Gómez,"Gómez, Panama"
United States,Washington,"Washington, United States"
United States,San Jose,"San Jose, United States"
United States,Sacramento,"Sacramento, United States"
United States,Cincinnati,"Cincinnati, United States"
United States,Durham,"Durham, United States"
United States,Daytona Beach,"Daytona Beach, United States"
United States,Roanoke,"Roanoke, United States"
