country,city,general
Honduras,El Suyatal,"El Suyatal, Honduras"
United States,Birmingham,"Birmingham, United States"
Mexico,Tierra Blanca,"Tierra Blanca, Mexico"
Mexico,Guadalupe Victoria,"Guadalupe Victoria, Mexico"
Guatemala,Pueblo Nuevo Viñas,"Pueblo Nuevo Viñas, Guatemala"
Honduras,Monjarás,"Monjarás, Honduras"
Panama,Veracruz,"Veracruz, Panama"
Nicaragua,Tola,"Tola, Nicaragua"
Mexico,San Francisco,"San Francisco, Mexico"
Guatemala,San Miguel Chicaj,"San Miguel Chicaj, Guatemala"
Mexico,Francisco Villa,"Francisco Villa, Mexico"
Mexico,Buenavista,"Buenavista, Mexico"
United States,Toledo,"Toledo, United States"
El Salvador,San Antonio del Monte,"San Antonio del Monte, El Salvador"
United States,Nashville,"Nashville, United States"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
Spain,Toledo,"Toledo, Spain"
United States,Houston,"Houston, United States"
Guatemala,Chuarrancho,"Chuarrancho, Guatemala"
Mexico,San Antonio,"San Antonio, Mexico"
Guatemala,San Pedro Carchá,"San Pedro Carchá, Guatemala"
Costa Rica,Pejibaye,"Pejibaye, Costa Rica"
Mexico,Hidalgo,"Hidalgo, Mexico"
United States,Jackson,"Jackson, United States"
Costa Rica,San Pablo,"San Pablo, Costa Rica"
Panama,Río Alejandro,"Río Alejandro, Panama"
Costa Rica,Paquera,"Paquera, Costa Rica"
Mexico,Los Fresnos,"Los Fresnos, Mexico"
Italy,Bergamo,"Bergamo, Italy"
United States,Pensacola,"Pensacola, United States"
United States,Baltimore,"Baltimore, United States"
Honduras,Ilama,"Ilama, Honduras"
United States,Saint Paul,"Saint Paul, United States"
United States,Columbus,"Columbus, United States"
Nicaragua,Telpaneca,"Telpaneca, Nicaragua"
United States,Phoenix,"Phoenix, United States"
United States,Spring,"Spring, United States"
United States,Pompano Beach,"Pompano Beach, United States"
United States,Chicago,"Chicago, United States"
United States,Richmond,"Richmond, United States"
El Salvador,Delgado,"Delgado, El Salvador"
Mexico,Magisterial,"Magisterial, Mexico"
Spain,Cadiz,"Cadiz, Spain"
El Salvador,Quezaltepeque,"Quezaltepeque, El Salvador"
Mexico,Independencia,"Independencia, Mexico"
Panama,Pueblo Nuevo,"Pueblo Nuevo, Panama"
Mexico,Fovissste,"Fovissste, Mexico"
United States,Greensboro,"Greensboro, United States"
Mexico,San Antonio,"San Antonio, Mexico"
Panama,Nuevo Emperador,"Nuevo Emperador, Panama"
Panama,El Coco,"El Coco, Panama"
Costa Rica,Batán,"Batán, Costa Rica"
United States,Boston,"Boston, United States"
United States,Saint Paul,"Saint Paul, United States"
Honduras,San Agustín,"San Agustín, Honduras"
United States,Oceanside,"Oceanside, United States"
El Salvador,Atiquizaya,"Atiquizaya, El Salvador"
Italy,Torino,"Torino, Italy"
Honduras,San Agustín,"San Agustín, Honduras"
United States,Tallahassee,"Tallahassee, United States"
El Salvador,Berlín,"Berlín, El Salvador"
Mexico,La Soledad,"La Soledad, Mexico"
United States,Denver,"Denver, United States"
United States,Greensboro,"Greensboro, United States"
United States,Milwaukee,"Milwaukee, United States"
United States,New York City,"New York City, United States"
Panama,San Miguelito,"San Miguelito, Panama"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
United States,Baton Rouge,"Baton Rouge, United States"
United States,Billings,"Billings, United States"
Guatemala,El Chol,"El Chol, Guatemala"
United States,Mesa,"Mesa, United States"
United States,Virginia Beach,"Virginia Beach, United States"
United States,Jacksonville,"Jacksonville, United States"
Mexico,Miguel Hidalgo,"Miguel Hidalgo, Mexico"
United States,Des Moines,"Des Moines, United States"
Italy,Reggio Calabria,"Reggio Calabria, Italy"
Mexico,La Cañada,"La Cañada, Mexico"
United States,Tucson,"Tucson, United States"
United States,New York City,"New York City, United States"
El Salvador,Chirilagua,"Chirilagua, El Salvador"
United States,Jefferson City,"Jefferson City, United States"
Guatemala,San Andrés,"San Andrés, Guatemala"
United States,Sacramento,"Sacramento, United States"
Spain,Pamplona/Iruña,"Pamplona/Iruña, Spain"
Honduras,Casa Quemada,"Casa Quemada, Honduras"
Nicaragua,León,"León, Nicaragua"
Mexico,Guadalupe,"Guadalupe, Mexico"
United States,Saint Petersburg,"Saint Petersburg, United States"
Mexico,Lindavista,"Lindavista, Mexico"
Italy,Ancona,"Ancona, Italy"
Guatemala,Santa Ana,"Santa Ana, Guatemala"
Spain,Leon,"Leon, Spain"
Mexico,Los Fresnos,"Los Fresnos, Mexico"
Panama,El Rincón,"El Rincón, Panama"
Honduras,La Labor,"La Labor, Honduras"
Mexico,Guadalupe,"Guadalupe, Mexico"
Honduras,Amapala,"Amapala, Honduras"
Costa Rica,Desamparados,"Desamparados, Costa Rica"
Guatemala,Oratorio,"Oratorio, Guatemala"
Mexico,Altavista,"Altavista, Mexico"
United States,Las Vegas,"Las Vegas, United States"
Guatemala,San José El Ídolo,"San José El Ídolo, Guatemala"
El Salvador,San Sebastián,"San Sebastián, El Salvador"
United States,Memphis,"Memphis, United States"
United States,Sunnyvale,"Sunnyvale, United States"
United States,Cincinnati,"Cincinnati, United States"
Honduras,Joconal,"Joconal, Honduras"
United States,Norfolk,"Norfolk, United States"
El Salvador,Apopa,"Apopa, El Salvador"
Spain,"Palmas De Gran Canaria, Las","Palmas De Gran Canaria, Las, Spain"
Panama,Palmas Bellas,"Palmas Bellas, Panama"
Guatemala,El Estor,"El Estor, Guatemala"
Panama,Nuevo Arraiján,"Nuevo Arraiján, Panama"
Mexico,San Juan,"San Juan, Mexico"
United States,Baltimore,"Baltimore, United States"
United States,Newark,"Newark, United States"
United States,Chicago,"Chicago, United States"
Spain,Lleida,"Lleida, Spain"
Honduras,Río Blanquito,"Río Blanquito, Honduras"
United States,Vienna,"Vienna, United States"
Guatemala,Pastores,"Pastores, Guatemala"
Mexico,Manlio Fabio Altamirano,"Manlio Fabio Altamirano, Mexico"
Guatemala,Santa María Ixhuatán,"Santa María Ixhuatán, Guatemala"
El Salvador,Apopa,"Apopa, El Salvador"
Panama,Colón,"Colón, Panama"
Nicaragua,La Libertad,"La Libertad, Nicaragua"
United States,Washington,"Washington, United States"
Mexico,Las Flores,"Las Flores, Mexico"
Mexico,Obrera,"Obrera, Mexico"
Honduras,San Vicente Centenario,"San Vicente Centenario, Honduras"
United States,Tuscaloosa,"Tuscaloosa, United States"
United States,Tuscaloosa,"Tuscaloosa, United States"
United States,San Francisco,"San Francisco, United States"
United States,Springfield,"Springfield, United States"
Honduras,Reitoca,"Reitoca, Honduras"
United States,Midland,"Midland, United States"
El Salvador,San Rafael Oriente,"San Rafael Oriente, El Salvador"
Guatemala,Morazán,"Morazán, Guatemala"
Mexico,Loma Bonita,"Loma Bonita, Mexico"
Panama,Nuevo Emperador,"Nuevo Emperador, Panama"
Spain,Albacete,"Albacete, Spain"
United States,Houston,"Houston, United States"
United States,Lansing,"Lansing, United States"
United States,Columbia,"Columbia, United States"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
United States,Chattanooga,"Chattanooga, United States"
Mexico,Buenavista,"Buenavista, Mexico"
Honduras,Arada,"Arada, Honduras"
United States,Grand Forks,"Grand Forks, United States"
Mexico,San Rafael,"San Rafael, Mexico"
United States,Grand Rapids,"Grand Rapids, United States"
United States,Gainesville,"Gainesville, United States"
Nicaragua,El Crucero,"El Crucero, Nicaragua"
United States,Tampa,"Tampa, United States"
United States,Gary,"Gary, United States"
United States,Toledo,"Toledo, United States"
Panama,Guabito,"Guabito, Panama"
United States,Colorado Springs,"Colorado Springs, United States"
United States,Wilkes Barre,"Wilkes Barre, United States"
Guatemala,Comapa,"Comapa, Guatemala"
United States,Louisville,"Louisville, United States"
United States,Naperville,"Naperville, United States"
United States,Knoxville,"Knoxville, United States"
Italy,Palermo,"Palermo, Italy"
United States,Washington,"Washington, United States"
Costa Rica,San José,"San José, Costa Rica"
Mexico,El Progreso,"El Progreso, Mexico"
United States,Raleigh,"Raleigh, United States"
Mexico,Alvaro Obregon,"Alvaro Obregon, Mexico"
United States,Santa Monica,"Santa Monica, United States"
Mexico,San Jose,"San Jose, Mexico"
El Salvador,Acajutla,"Acajutla, El Salvador"
Nicaragua,Boaco,"Boaco, Nicaragua"
Honduras,Guaimaca,"Guaimaca, Honduras"
Guatemala,Santa Clara La Laguna,"Santa Clara La Laguna, Guatemala"
Spain,Vigo,"Vigo, Spain"
Mexico,5 de Mayo,"5 de Mayo, Mexico"
Italy,Ancona,"Ancona, Italy"
Honduras,Talanga,"Talanga, Honduras"
Italy,Roma,"Roma, Italy"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
Italy,Bologna,"Bologna, Italy"
Mexico,Vicente Guerrero,"Vicente Guerrero, Mexico"
United States,Inglewood,"Inglewood, United States"
Mexico,Independencia,"Independencia, Mexico"
United States,Jamaica,"Jamaica, United States"
Guatemala,Santa Bárbara,"Santa Bárbara, Guatemala"
United States,Seattle,"Seattle, United States"
United States,Saint Petersburg,"Saint Petersburg, United States"
United States,New York City,"New York City, United States"
United States,Palmdale,"Palmdale, United States"
United States,Albany,"Albany, United States"
United States,Madison,"Madison, United States"
United States,Louisville,"Louisville, United States"
Mexico,La Loma,"La Loma, Mexico"
United States,Portland,"Portland, United States"
Panama,Sioguí Arriba,"Sioguí Arriba, Panama"
United States,West Palm Beach,"West Palm Beach, United States"
Spain,Lleida,"Lleida, Spain"
Mexico,Francisco Villa,"Francisco Villa, Mexico"
Honduras,Morazán,"Morazán, Honduras"
Guatemala,Jacaltenango,"Jacaltenango, Guatemala"
Panama,El Copé,"El Copé, Panama"
Guatemala,Champerico,"Champerico, Guatemala"
Mexico,San Isidro,"San Isidro, Mexico"
Panama,El Copé,"El Copé, Panama"
Honduras,Yarumela,"Yarumela, Honduras"
United States,Anchorage,"Anchorage, United States"
United States,Reno,"Reno, United States"
Spain,Sevilla,"Sevilla, Spain"
United States,Mobile,"Mobile, United States"
Honduras,Sabá,"Sabá, Honduras"
Mexico,Las Palmas,"Las Palmas, Mexico"
United States,Laurel,"Laurel, United States"
Guatemala,San Rafael Petzal,"San Rafael Petzal, Guatemala"
Honduras,Toyós,"Toyós, Honduras"
United States,Detroit,"Detroit, United States"
Mexico,Francisco Villa,"Francisco Villa, Mexico"
United States,Dallas,"Dallas, United States"
United States,Mobile,"Mobile, United States"
Mexico,Los Pinos,"Los Pinos, Mexico"
Panama,Bella Vista,"Bella Vista, Panama"
United States,Anniston,"Anniston, United States"
United States,Durham,"Durham, United States"
Costa Rica,Colima,"Colima, Costa Rica"
Mexico,Santa Elena,"Santa Elena, Mexico"
United States,Midland,"Midland, United States"
Mexico,El Refugio,"El Refugio, Mexico"
United States,Waco,"Waco, United States"
Honduras,Las Trojes,"Las Trojes, Honduras"
Panama,Veracruz,"Veracruz, Panama"
Panama,Panamá,"Panamá, Panama"
Mexico,San Agustin,"San Agustin, Mexico"
United States,Jacksonville,"Jacksonville, United States"
Mexico,Buenos Aires,"Buenos Aires, Mexico"
Mexico,Las Americas,"Las Americas, Mexico"
United States,Corona,"Corona, United States"
United States,Scottsdale,"Scottsdale, United States"
United States,Lynchburg,"Lynchburg, United States"
El Salvador,Tenancingo,"Tenancingo, El Salvador"
United States,Jamaica,"Jamaica, United States"
United States,San Diego,"San Diego, United States"
El Salvador,Metapán,"Metapán, El Salvador"
Panama,Colón,"Colón, Panama"
Spain,Gijon,"Gijon, Spain"
Mexico,Loma Bonita,"Loma Bonita, Mexico"
Honduras,Guanaja,"Guanaja, Honduras"
Nicaragua,Boaco,"Boaco, Nicaragua"
United States,Tacoma,"Tacoma, United States"
Guatemala,San Cristóbal Verapaz,"San Cristóbal Verapaz, Guatemala"
Mexico,San Antonio,"San Antonio, Mexico"
Spain,Castellon De La Plana/Castello De La Pla,"Castellon De La Plana/Castello De La Pla, Spain"
United States,Chicago,"Chicago, United States"
Mexico,La Paz,"La Paz, Mexico"
Mexico,Los Angeles,"Los Angeles, Mexico"
United States,Chattanooga,"Chattanooga, United States"
United States,Gainesville,"Gainesville, United States"
Panama,Panamá,"Panamá, Panama"
Guatemala,Comapa,"Comapa, Guatemala"
Guatemala,Oratorio,"Oratorio, Guatemala"
United States,Minneapolis,"Minneapolis, United States"
United States,Newark,"Newark, United States"
Honduras,Veracruz,"Veracruz, Honduras"
Honduras,Reitoca,"Reitoca, Honduras"
United States,Seminole,"Seminole, United States"
Mexico,Bellavista,"Bellavista, Mexico"
Honduras,Zamora,"Zamora, Honduras"
Italy,Venezia,"Venezia, Italy"
United States,Knoxville,"Knoxville, United States"
Mexico,Independencia,"Independencia, Mexico"
Mexico,Magisterial,"Magisterial, Mexico"
United States,Los Angeles,"Los Angeles, United States"
United States,Miami,"Miami, United States"
United States,Montgomery,"Montgomery, United States"
United States,Buffalo,"Buffalo, United States"
United States,Charleston,"Charleston, United States"
Guatemala,Esquipulas Palo Gordo,"Esquipulas Palo Gordo, Guatemala"
Honduras,San José de Colinas,"San José de Colinas, Honduras"
Honduras,Protección,"Protección, Honduras"
Costa Rica,Salitral,"Salitral, Costa Rica"
Nicaragua,Siuna,"Siuna, Nicaragua"
United States,Oklahoma City,"Oklahoma City, United States"
Guatemala,Tecpán Guatemala,"Tecpán Guatemala, Guatemala"
Panama,Jaqué,"Jaqué, Panama"
United States,Wilmington,"Wilmington, United States"
Guatemala,San José Poaquil,"San José Poaquil, Guatemala"
United States,San Jose,"San Jose, United States"
El Salvador,Santa Rosa de Lima,"Santa Rosa de Lima, El Salvador"
United States,Tulsa,"Tulsa, United States"
United States,Denton,"Denton, United States"
Mexico,La Purisima,"La Purisima, Mexico"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
Honduras,El Pino,"El Pino, Honduras"
Nicaragua,Matagalpa,"Matagalpa, Nicaragua"
United States,Philadelphia,"Philadelphia, United States"
United States,San Jose,"San Jose, United States"
United States,San Diego,"San Diego, United States"
Honduras,La Guama,"La Guama, Honduras"
El Salvador,Santa Ana,"Santa Ana, El Salvador"
United States,Waco,"Waco, United States"
Spain,Santiago De Compostela,"Santiago De Compostela, Spain"
United States,Honolulu,"Honolulu, United States"
United States,Fort Myers,"Fort Myers, United States"
United States,Midland,"Midland, United States"
United States,Louisville,"Louisville, United States"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
United States,Lafayette,"Lafayette, United States"
Guatemala,San Luis Jilotepeque,"San Luis Jilotepeque, Guatemala"
United States,San Antonio,"San Antonio, United States"
Mexico,Independencia,"Independencia, Mexico"
United States,Bronx,"Bronx, United States"
United States,Jefferson City,"Jefferson City, United States"
El Salvador,Texistepeque,"Texistepeque, El Salvador"
El Salvador,Sonzacate,"Sonzacate, El Salvador"
Honduras,San Marcos,"San Marcos, Honduras"
United States,Kansas City,"Kansas City, United States"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Guatemala,Olopa,"Olopa, Guatemala"
Panama,Aserrío de Gariché,"Aserrío de Gariché, Panama"
Guatemala,Soloma,"Soloma, Guatemala"
United States,El Paso,"El Paso, United States"
Mexico,Las Flores,"Las Flores, Mexico"
Honduras,Las Trojes,"Las Trojes, Honduras"
United States,Tacoma,"Tacoma, United States"
Italy,Firenze,"Firenze, Italy"
Mexico,Buenavista,"Buenavista, Mexico"
United States,Oakland,"Oakland, United States"
United States,Stamford,"Stamford, United States"
United States,Durham,"Durham, United States"
United States,New Brunswick,"New Brunswick, United States"
United States,Houston,"Houston, United States"
United States,Knoxville,"Knoxville, United States"
Spain,Barcelona,"Barcelona, Spain"
United States,Raleigh,"Raleigh, United States"
Spain,Elx/Elche,"Elx/Elche, Spain"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
Spain,Lleida,"Lleida, Spain"
Spain,Pontevedra,"Pontevedra, Spain"
Guatemala,Guanagazapa,"Guanagazapa, Guatemala"
Spain,"Hospitalet De Llobregat, L'","Hospitalet De Llobregat, L', Spain"
Mexico,Zaragoza,"Zaragoza, Mexico"
Honduras,San José de Comayagua,"San José de Comayagua, Honduras"
Nicaragua,Bonanza,"Bonanza, Nicaragua"
United States,Washington,"Washington, United States"
United States,Phoenix,"Phoenix, United States"
Italy,Roma,"Roma, Italy"
Mexico,Rancho Nuevo,"Rancho Nuevo, Mexico"
United States,Salinas,"Salinas, United States"
Mexico,Vicente Guerrero,"Vicente Guerrero, Mexico"
Mexico,Ejidal,"Ejidal, Mexico"
Spain,Malaga,"Malaga, Spain"
United States,Pinellas Park,"Pinellas Park, United States"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Honduras,La Libertad,"La Libertad, Honduras"
United States,Chicago,"Chicago, United States"
Guatemala,San José,"San José, Guatemala"
United States,Maple Plain,"Maple Plain, United States"
United States,Columbia,"Columbia, United States"
United States,Portland,"Portland, United States"
Honduras,Salamá,"Salamá, Honduras"
United States,Houston,"Houston, United States"
Mexico,Vicente Guerrero,"Vicente Guerrero, Mexico"
United States,Fort Worth,"Fort Worth, United States"
United States,Savannah,"Savannah, United States"
Honduras,San Marcos de Colón,"San Marcos de Colón, Honduras"
United States,Evansville,"Evansville, United States"
United States,Tulsa,"Tulsa, United States"
Panama,El Cortezo,"El Cortezo, Panama"
El Salvador,Santiago Nonualco,"Santiago Nonualco, El Salvador"
Mexico,El Refugio,"El Refugio, Mexico"
Guatemala,San Vicente Pacaya,"San Vicente Pacaya, Guatemala"
United States,Vienna,"Vienna, United States"
United States,Harrisburg,"Harrisburg, United States"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
United States,Sunnyvale,"Sunnyvale, United States"
United States,Baton Rouge,"Baton Rouge, United States"
Honduras,Guanaja,"Guanaja, Honduras"
United States,San Francisco,"San Francisco, United States"
Honduras,Santa Cruz de Yojoa,"Santa Cruz de Yojoa, Honduras"
