country,city,general
Costa Rica,Puntarenas,"Puntarenas, Costa Rica"
United States,Oceanside,"Oceanside, United States"
United States,Waterbury,"Waterbury, United States"
Honduras,San Luis,"San Luis, Honduras"
Guatemala,Chisec,"Chisec, Guatemala"
Mexico,El Carmen,"El Carmen, Mexico"
Costa Rica,San Felipe,"San Felipe, Costa Rica"
United States,Saint Cloud,"Saint Cloud, United States"
Mexico,San Luis,"San Luis, Mexico"
Guatemala,Chiantla,"Chiantla, Guatemala"
Honduras,Armenia,"Armenia, Honduras"
Panama,Capellanía,"Capellanía, Panama"
Nicaragua,Bocana de Paiwas,"Bocana de Paiwas, Nicaragua"
Italy,Venezia,"Venezia, Italy"
United States,Durham,"Durham, United States"
Guatemala,El Chol,"El Chol, Guatemala"
Honduras,Choloma,"Choloma, Honduras"
Mexico,Vista Hermosa,"Vista Hermosa, Mexico"
United States,Grand Rapids,"Grand Rapids, United States"
Mexico,Jose Maria Morelos,"Jose Maria Morelos, Mexico"
United States,Santa Fe,"Santa Fe, United States"
Mexico,San Antonio,"San Antonio, Mexico"
United States,Harrisburg,"Harrisburg, United States"
United States,Saint Paul,"Saint Paul, United States"
United States,Honolulu,"Honolulu, United States"
Honduras,Peña Blanca,"Peña Blanca, Honduras"
United States,Santa Monica,"Santa Monica, United States"
United States,Albuquerque,"Albuquerque, United States"
United States,Fresno,"Fresno, United States"
Costa Rica,Siquirres,"Siquirres, Costa Rica"
Honduras,Reitoca,"Reitoca, Honduras"
United States,New York City,"New York City, United States"
United States,Salt Lake City,"Salt Lake City, United States"
Costa Rica,Matina,"Matina, Costa Rica"
Mexico,Guadalupe,"Guadalupe, Mexico"
United States,Washington,"Washington, United States"
United States,Colorado Springs,"Colorado Springs, United States"
Mexico,Los Pinos,"Los Pinos, Mexico"
Guatemala,Chuarrancho,"Chuarrancho, Guatemala"
United States,Fort Wayne,"Fort Wayne, United States"
Spain,Pamplona/Iruña,"Pamplona/Iruña, Spain"
United States,Garden Grove,"Garden Grove, United States"
United States,Anchorage,"Anchorage, United States"
Guatemala,San Antonio Ilotenango,"San Antonio Ilotenango, Guatemala"
United States,Minneapolis,"Minneapolis, United States"
Mexico,San Isidro,"San Isidro, Mexico"
Spain,Valencia,"Valencia, Spain"
Mexico,La Cruz,"La Cruz, Mexico"
Panama,Río Alejandro,"Río Alejandro, Panama"
United States,El Paso,"El Paso, United States"
United States,Los Angeles,"Los Angeles, United States"
Mexico,El Progreso,"El Progreso, Mexico"
Honduras,Valle de Ángeles,"Valle de Ángeles, Honduras"
United States,Wilmington,"Wilmington, United States"
United States,Newport News,"Newport News, United States"
United States,Shawnee Mission,"Shawnee Mission, United States"
Honduras,Pueblo Nuevo,"Pueblo Nuevo, Honduras"
Honduras,San Juan de Planes,"San Juan de Planes, Honduras"
El Salvador,Victoria,"Victoria, El Salvador"
Nicaragua,Nandasmo,"Nandasmo, Nicaragua"
United States,Punta Gorda,"Punta Gorda, United States"
United States,Chicago,"Chicago, United States"
Honduras,Tepusteca,"Tepusteca, Honduras"
United States,Nashville,"Nashville, United States"
Mexico,San Luis,"San Luis, Mexico"
Panama,El Caño,"El Caño, Panama"
Nicaragua,Diriomo,"Diriomo, Nicaragua"
Mexico,El Limon,"El Limon, Mexico"
United States,Lubbock,"Lubbock, United States"
United States,Jacksonville,"Jacksonville, United States"
Honduras,Liure,"Liure, Honduras"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
United States,Youngstown,"Youngstown, United States"
United States,Fort Smith,"Fort Smith, United States"
Mexico,Providencia,"Providencia, Mexico"
Mexico,San Jose,"San Jose, Mexico"
Mexico,Vista Hermosa,"Vista Hermosa, Mexico"
Guatemala,Zunilito,"Zunilito, Guatemala"
United States,Shreveport,"Shreveport, United States"
United States,Washington,"Washington, United States"
United States,Aurora,"Aurora, United States"
Honduras,La Guama,"La Guama, Honduras"
United States,South Bend,"South Bend, United States"
United States,Washington,"Washington, United States"
United States,Minneapolis,"Minneapolis, United States"
United States,Shawnee Mission,"Shawnee Mission, United States"
Honduras,El Pino,"El Pino, Honduras"
Guatemala,San Martín Zapotitlán,"San Martín Zapotitlán, Guatemala"
Spain,Gijon,"Gijon, Spain"
Honduras,El Socorro,"El Socorro, Honduras"
United States,Huntington,"Huntington, United States"
United States,Springfield,"Springfield, United States"
United States,North Little Rock,"North Little Rock, United States"
Costa Rica,Turrialba,"Turrialba, Costa Rica"
Honduras,Concepción de la Barranca,"Concepción de la Barranca, Honduras"
Honduras,San Buenaventura,"San Buenaventura, Honduras"
Spain,Ferrol,"Ferrol, Spain"
Mexico,La Esperanza,"La Esperanza, Mexico"
United States,Denver,"Denver, United States"
United States,Farmington,"Farmington, United States"
Guatemala,Río Hondo,"Río Hondo, Guatemala"
Honduras,El Marañón,"El Marañón, Honduras"
United States,Olympia,"Olympia, United States"
United States,Boston,"Boston, United States"
United States,Sacramento,"Sacramento, United States"
United States,Scottsdale,"Scottsdale, United States"
Honduras,Texíguat,"Texíguat, Honduras"
United States,Roanoke,"Roanoke, United States"
Mexico,La Concepcion,"La Concepcion, Mexico"
Italy,Messina,"Messina, Italy"
United States,Youngstown,"Youngstown, United States"
United States,Roanoke,"Roanoke, United States"
United States,Hartford,"Hartford, United States"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
United States,Boston,"Boston, United States"
Guatemala,San Bartolomé Milpas Altas,"San Bartolomé Milpas Altas, Guatemala"
Nicaragua,La Paz Centro,"La Paz Centro, Nicaragua"
Mexico,San Sebastian,"San Sebastian, Mexico"
Spain,Lleida,"Lleida, Spain"
United States,Houston,"Houston, United States"
United States,Young America,"Young America, United States"
United States,Toledo,"Toledo, United States"
United States,London,"London, United States"
United States,Saint Paul,"Saint Paul, United States"
United States,Washington,"Washington, United States"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Guatemala,San Rafael Petzal,"San Rafael Petzal, Guatemala"
United States,Bloomington,"Bloomington, United States"
United States,Lynn,"Lynn, United States"
Mexico,Del Valle,"Del Valle, Mexico"
Spain,Logroño,"Logroño, Spain"
United States,Peoria,"Peoria, United States"
Mexico,Fovissste,"Fovissste, Mexico"
United States,Huntsville,"Huntsville, United States"
United States,Madison,"Madison, United States"
Mexico,Buenavista,"Buenavista, Mexico"
Mexico,La Concepcion,"La Concepcion, Mexico"
United States,Spring,"Spring, United States"
United States,Saint Louis,"Saint Louis, United States"
Panama,Guarumal,"Guarumal, Panama"
Mexico,Santa Cruz,"Santa Cruz, Mexico"
Costa Rica,Heredia,"Heredia, Costa Rica"
United States,Columbus,"Columbus, United States"
United States,Santa Monica,"Santa Monica, United States"
Guatemala,El Adelanto,"El Adelanto, Guatemala"
Mexico,San Isidro,"San Isidro, Mexico"
Mexico,Vicente Guerrero,"Vicente Guerrero, Mexico"
United States,New York City,"New York City, United States"
Guatemala,Agua Blanca,"Agua Blanca, Guatemala"
Italy,Firenze,"Firenze, Italy"
United States,Charleston,"Charleston, United States"
United States,Cleveland,"Cleveland, United States"
Guatemala,Acatenango,"Acatenango, Guatemala"
United States,Wilkes Barre,"Wilkes Barre, United States"
United States,Waco,"Waco, United States"
Guatemala,Morales,"Morales, Guatemala"
United States,Tampa,"Tampa, United States"
Mexico,Primero de Mayo,"Primero de Mayo, Mexico"
Mexico,Las Flores,"Las Flores, Mexico"
Italy,Trieste,"Trieste, Italy"
Honduras,San Juan Pueblo,"San Juan Pueblo, Honduras"
United States,Rochester,"Rochester, United States"
United States,Buffalo,"Buffalo, United States"
United States,Philadelphia,"Philadelphia, United States"
Mexico,Reforma,"Reforma, Mexico"
United States,Birmingham,"Birmingham, United States"
Spain,Toledo,"Toledo, Spain"
Mexico,San Antonio,"San Antonio, Mexico"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
United States,Sacramento,"Sacramento, United States"
United States,Albuquerque,"Albuquerque, United States"
Mexico,Santa Rosa,"Santa Rosa, Mexico"
United States,Lawrenceville,"Lawrenceville, United States"
United States,El Paso,"El Paso, United States"
Honduras,San José de Colinas,"San José de Colinas, Honduras"
United States,Monroe,"Monroe, United States"
Panama,San Francisco,"San Francisco, Panama"
Mexico,El Zapote,"El Zapote, Mexico"
Spain,Logroño,"Logroño, Spain"
Honduras,Nombre de Jesús,"Nombre de Jesús, Honduras"
United States,Pompano Beach,"Pompano Beach, United States"
Mexico,El Capulin,"El Capulin, Mexico"
Mexico,Las Americas,"Las Americas, Mexico"
United States,Albany,"Albany, United States"
United States,Fort Worth,"Fort Worth, United States"
Honduras,Potrerillos,"Potrerillos, Honduras"
Guatemala,Sayaxché,"Sayaxché, Guatemala"
Mexico,Jose Maria Morelos,"Jose Maria Morelos, Mexico"
Guatemala,Barberena,"Barberena, Guatemala"
United States,Saint Louis,"Saint Louis, United States"
United States,Ogden,"Ogden, United States"
United States,Oakland,"Oakland, United States"
United States,Zephyrhills,"Zephyrhills, United States"
United States,Chicago,"Chicago, United States"
Spain,Palma De Mallorca,"Palma De Mallorca, Spain"
Mexico,Santa Cruz,"Santa Cruz, Mexico"
Honduras,Iralaya,"Iralaya, Honduras"
Nicaragua,Masachapa,"Masachapa, Nicaragua"
United States,Houston,"Houston, United States"
Nicaragua,Diriomo,"Diriomo, Nicaragua"
Mexico,Vista Hermosa,"Vista Hermosa, Mexico"
Spain,Ferrol,"Ferrol, Spain"
United States,Chicago,"Chicago, United States"
Guatemala,San Pedro Sacatepéquez,"San Pedro Sacatepéquez, Guatemala"
United States,Alexandria,"Alexandria, United States"
Spain,Valladolid,"Valladolid, Spain"
United States,Saint Louis,"Saint Louis, United States"
Panama,Nuevo Arraiján,"Nuevo Arraiján, Panama"
Mexico,San Miguel,"San Miguel, Mexico"
United States,Honolulu,"Honolulu, United States"
Guatemala,San Luis Ixcán,"San Luis Ixcán, Guatemala"
United States,Lexington,"Lexington, United States"
United States,Flushing,"Flushing, United States"
United States,Whittier,"Whittier, United States"
United States,Austin,"Austin, United States"
Mexico,Amado Nervo,"Amado Nervo, Mexico"
Spain,Valladolid,"Valladolid, Spain"
Guatemala,Patulul,"Patulul, Guatemala"
Mexico,Independencia,"Independencia, Mexico"
Mexico,La Soledad,"La Soledad, Mexico"
United States,Austin,"Austin, United States"
Nicaragua,Chinandega,"Chinandega, Nicaragua"
Spain,Leon,"Leon, Spain"
Nicaragua,Puerto Morazán,"Puerto Morazán, Nicaragua"
United States,Dearborn,"Dearborn, United States"
Mexico,Belisario Dominguez,"Belisario Dominguez, Mexico"
United States,Bradenton,"Bradenton, United States"
Honduras,Cololaca,"Cololaca, Honduras"
Panama,Pueblo Nuevo,"Pueblo Nuevo, Panama"
United States,Sacramento,"Sacramento, United States"
Mexico,Santa Cruz,"Santa Cruz, Mexico"
Mexico,Las Flores,"Las Flores, Mexico"
Mexico,Altavista,"Altavista, Mexico"
United States,Reading,"Reading, United States"
Honduras,Arada,"Arada, Honduras"
Spain,Ourense,"Ourense, Spain"
United States,Dallas,"Dallas, United States"
Costa Rica,Paquera,"Paquera, Costa Rica"
United States,Honolulu,"Honolulu, United States"
United States,Garland,"Garland, United States"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
United States,Las Vegas,"Las Vegas, United States"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Honduras,La Libertad,"La Libertad, Honduras"
United States,Wichita,"Wichita, United States"
United States,Minneapolis,"Minneapolis, United States"
Honduras,Yoro,"Yoro, Honduras"
Honduras,San Marcos,"San Marcos, Honduras"
United States,Newark,"Newark, United States"
United States,Knoxville,"Knoxville, United States"
Mexico,El Mirador,"El Mirador, Mexico"
United States,Evansville,"Evansville, United States"
United States,Cincinnati,"Cincinnati, United States"
United States,Schaumburg,"Schaumburg, United States"
United States,Greensboro,"Greensboro, United States"
Spain,Madrid,"Madrid, Spain"
United States,Lexington,"Lexington, United States"
United States,Brooklyn,"Brooklyn, United States"
Honduras,Langue,"Langue, Honduras"
Costa Rica,Juntas,"Juntas, Costa Rica"
Mexico,El Zapote,"El Zapote, Mexico"
United States,Shawnee Mission,"Shawnee Mission, United States"
Costa Rica,Pocora,"Pocora, Costa Rica"
Honduras,Duyure,"Duyure, Honduras"
United States,Saint Louis,"Saint Louis, United States"
United States,Jacksonville,"Jacksonville, United States"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
Panama,Río Alejandro,"Río Alejandro, Panama"
United States,Lexington,"Lexington, United States"
United States,Washington,"Washington, United States"
Honduras,San Marcos de Colón,"San Marcos de Colón, Honduras"
Spain,Lugo,"Lugo, Spain"
Honduras,Zopilotepe,"Zopilotepe, Honduras"
Guatemala,San Pedro Sacatepéquez,"San Pedro Sacatepéquez, Guatemala"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
El Salvador,Texistepeque,"Texistepeque, El Salvador"
United States,Newport News,"Newport News, United States"
Honduras,El Olivar,"El Olivar, Honduras"
Honduras,El Olivar,"El Olivar, Honduras"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
Mexico,Hidalgo,"Hidalgo, Mexico"
United States,Cincinnati,"Cincinnati, United States"
Italy,Mestre,"Mestre, Italy"
Honduras,Salamá,"Salamá, Honduras"
United States,New Orleans,"New Orleans, United States"
Panama,Tocumen,"Tocumen, Panama"
Mexico,San Francisco,"San Francisco, Mexico"
United States,Inglewood,"Inglewood, United States"
United States,Los Angeles,"Los Angeles, United States"
Nicaragua,Yalagüina,"Yalagüina, Nicaragua"
Mexico,Rafael Hernandez Ochoa,"Rafael Hernandez Ochoa, Mexico"
United States,Dallas,"Dallas, United States"
United States,Honolulu,"Honolulu, United States"
Spain,Donostia-San Sebastian,"Donostia-San Sebastian, Spain"
Honduras,San José de Comayagua,"San José de Comayagua, Honduras"
Costa Rica,Paraíso,"Paraíso, Costa Rica"
United States,Hampton,"Hampton, United States"
Mexico,San Jose,"San Jose, Mexico"
Mexico,Vicente Guerrero,"Vicente Guerrero, Mexico"
United States,Denver,"Denver, United States"
Guatemala,Lívingston,"Lívingston, Guatemala"
Mexico,San Jose,"San Jose, Mexico"
El Salvador,San Salvador,"San Salvador, El Salvador"
Panama,San Ignacio de Tupile,"San Ignacio de Tupile, Panama"
Spain,Donostia-San Sebastian,"Donostia-San Sebastian, Spain"
United States,Houston,"Houston, United States"
United States,Washington,"Washington, United States"
Honduras,Aguas del Padre,"Aguas del Padre, Honduras"
Mexico,Francisco Villa,"Francisco Villa, Mexico"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
United States,Petaluma,"Petaluma, United States"
United States,Chicago,"Chicago, United States"
United States,Jeffersonville,"Jeffersonville, United States"
Italy,Trieste,"Trieste, Italy"
Nicaragua,Tisma,"Tisma, Nicaragua"
Costa Rica,Escazú,"Escazú, Costa Rica"
Panama,Chitré,"Chitré, Panama"
United States,Charlotte,"Charlotte, United States"
Mexico,El Tejocote,"El Tejocote, Mexico"
United States,New Orleans,"New Orleans, United States"
Guatemala,Tamahú,"Tamahú, Guatemala"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
Mexico,Del Valle,"Del Valle, Mexico"
United States,Baton Rouge,"Baton Rouge, United States"
Mexico,La Guadalupe,"La Guadalupe, Mexico"
Honduras,Puerto Castilla,"Puerto Castilla, Honduras"
Mexico,Adolfo Lopez Mateos,"Adolfo Lopez Mateos, Mexico"
United States,Wilmington,"Wilmington, United States"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
United States,Philadelphia,"Philadelphia, United States"
United States,Warren,"Warren, United States"
United States,Minneapolis,"Minneapolis, United States"
Italy,Milano,"Milano, Italy"
Mexico,Las Flores,"Las Flores, Mexico"
United States,San Jose,"San Jose, United States"
United States,Fort Wayne,"Fort Wayne, United States"
Italy,Firenze,"Firenze, Italy"
United States,San Antonio,"San Antonio, United States"
Guatemala,Ostuncalco,"Ostuncalco, Guatemala"
Mexico,San Antonio,"San Antonio, Mexico"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
United States,Oklahoma City,"Oklahoma City, United States"
Mexico,San Francisco,"San Francisco, Mexico"
Mexico,20 de Noviembre,"20 de Noviembre, Mexico"
United States,Milwaukee,"Milwaukee, United States"
United States,Corpus Christi,"Corpus Christi, United States"
United States,Aurora,"Aurora, United States"
United States,Seattle,"Seattle, United States"
Italy,Palermo,"Palermo, Italy"
United States,Columbus,"Columbus, United States"
Panama,Sabanitas,"Sabanitas, Panama"
Mexico,Chapultepec,"Chapultepec, Mexico"
United States,Santa Rosa,"Santa Rosa, United States"
United States,New Bedford,"New Bedford, United States"
United States,Houston,"Houston, United States"
United States,Birmingham,"Birmingham, United States"
United States,Fort Lauderdale,"Fort Lauderdale, United States"
Honduras,Mojimán,"Mojimán, Honduras"
Mexico,Guadalupe Victoria,"Guadalupe Victoria, Mexico"
United States,Santa Rosa,"Santa Rosa, United States"
United States,San Jose,"San Jose, United States"
Costa Rica,Parrita,"Parrita, Costa Rica"
United States,Dallas,"Dallas, United States"
United States,Saint Louis,"Saint Louis, United States"
Mexico,San Sebastian,"San Sebastian, Mexico"
United States,El Paso,"El Paso, United States"
Nicaragua,Nueva Guinea,"Nueva Guinea, Nicaragua"
Mexico,Vicente Guerrero,"Vicente Guerrero, Mexico"
United States,Miami,"Miami, United States"
United States,Austin,"Austin, United States"
United States,San Diego,"San Diego, United States"
United States,Detroit,"Detroit, United States"
Mexico,Luis Donaldo Colosio,"Luis Donaldo Colosio, Mexico"
United States,Jacksonville,"Jacksonville, United States"
Mexico,La Loma,"La Loma, Mexico"
Guatemala,Santa Cruz La Laguna,"Santa Cruz La Laguna, Guatemala"
Mexico,Francisco J Mujica,"Francisco J Mujica, Mexico"
Guatemala,Oratorio,"Oratorio, Guatemala"
Mexico,Adolfo Ruiz Cortines,"Adolfo Ruiz Cortines, Mexico"
United States,Conroe,"Conroe, United States"
United States,Washington,"Washington, United States"
United States,Oakland,"Oakland, United States"
Guatemala,Concepción,"Concepción, Guatemala"
Spain,Leon,"Leon, Spain"
United States,Orlando,"Orlando, United States"
United States,San Diego,"San Diego, United States"
United States,Washington,"Washington, United States"
Honduras,Dulce Nombre de Culmí,"Dulce Nombre de Culmí, Honduras"
Spain,Vitoria-Gasteiz,"Vitoria-Gasteiz, Spain"
United States,Fort Worth,"Fort Worth, United States"
United States,Montgomery,"Montgomery, United States"
Mexico,Santa Rosa,"Santa Rosa, Mexico"
Mexico,Las Palmas,"Las Palmas, Mexico"
Spain,Torrevieja,"Torrevieja, Spain"
United States,Erie,"Erie, United States"
Honduras,San José de Comayagua,"San José de Comayagua, Honduras"
United States,Jacksonville,"Jacksonville, United States"
Panama,Santa Marta,"Santa Marta, Panama"
Mexico,La Virgen,"La Virgen, Mexico"
United States,Albany,"Albany, United States"
Nicaragua,Rama,"Rama, Nicaragua"
United States,Philadelphia,"Philadelphia, United States"
United States,Trenton,"Trenton, United States"
United States,Brooklyn,"Brooklyn, United States"
El Salvador,Ciudad Arce,"Ciudad Arce, El Salvador"
United States,Stockton,"Stockton, United States"
Nicaragua,Quezalguaque,"Quezalguaque, Nicaragua"
United States,Sacramento,"Sacramento, United States"
El Salvador,Tenancingo,"Tenancingo, El Salvador"
Nicaragua,El Almendro,"El Almendro, Nicaragua"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Honduras,Lucerna,"Lucerna, Honduras"
Honduras,Monterrey,"Monterrey, Honduras"
Spain,Dos Hermanas,"Dos Hermanas, Spain"
United States,Greenville,"Greenville, United States"
Mexico,El Calvario,"El Calvario, Mexico"
United States,New Haven,"New Haven, United States"
Panama,La Mesa,"La Mesa, Panama"
Mexico,Niños Heroes,"Niños Heroes, Mexico"
Costa Rica,San Rafael Abajo,"San Rafael Abajo, Costa Rica"
Mexico,Vista Hermosa,"Vista Hermosa, Mexico"
United States,Phoenix,"Phoenix, United States"
Guatemala,San Cristóbal Verapaz,"San Cristóbal Verapaz, Guatemala"
Honduras,Zamora,"Zamora, Honduras"
United States,Lubbock,"Lubbock, United States"
Mexico,Nueva Esperanza,"Nueva Esperanza, Mexico"
United States,Norwalk,"Norwalk, United States"
Mexico,Bellavista,"Bellavista, Mexico"
Panama,La Mesa,"La Mesa, Panama"
United States,Danbury,"Danbury, United States"
Guatemala,Huitán,"Huitán, Guatemala"
United States,Saint Joseph,"Saint Joseph, United States"
Mexico,La Esperanza,"La Esperanza, Mexico"
Guatemala,San Cristóbal Verapaz,"San Cristóbal Verapaz, Guatemala"
United States,Chicago,"Chicago, United States"
Spain,Vitoria-Gasteiz,"Vitoria-Gasteiz, Spain"
Guatemala,San Marcos,"San Marcos, Guatemala"
United States,Houston,"Houston, United States"
Mexico,Chapultepec,"Chapultepec, Mexico"
Mexico,San Sebastian,"San Sebastian, Mexico"
United States,Brooklyn,"Brooklyn, United States"
Panama,Veracruz,"Veracruz, Panama"
Guatemala,Joyabaj,"Joyabaj, Guatemala"
United States,Cincinnati,"Cincinnati, United States"
Honduras,Santa Cruz de Yojoa,"Santa Cruz de Yojoa, Honduras"
Panama,La Peña,"La Peña, Panama"
Italy,Ancona,"Ancona, Italy"
United States,Las Vegas,"Las Vegas, United States"
Costa Rica,Alajuelita,"Alajuelita, Costa Rica"
United States,Portland,"Portland, United States"
United States,New Bedford,"New Bedford, United States"
United States,Johnson City,"Johnson City, United States"
Honduras,San Marcos,"San Marcos, Honduras"
Mexico,Santa Maria,"Santa Maria, Mexico"
United States,Fort Worth,"Fort Worth, United States"
United States,Albuquerque,"Albuquerque, United States"
United States,Washington,"Washington, United States"
Panama,San Francisco,"San Francisco, Panama"
Honduras,Corquín,"Corquín, Honduras"
Guatemala,Jacaltenango,"Jacaltenango, Guatemala"
United States,Indianapolis,"Indianapolis, United States"
United States,New York City,"New York City, United States"
Mexico,Amado Nervo,"Amado Nervo, Mexico"
El Salvador,El Rosario,"El Rosario, El Salvador"
Guatemala,Cahabón,"Cahabón, Guatemala"
Panama,Sabanitas,"Sabanitas, Panama"
Spain,Lleida,"Lleida, Spain"
Panama,Chame,"Chame, Panama"
Honduras,La Esperanza,"La Esperanza, Honduras"
Mexico,Santa Rosa,"Santa Rosa, Mexico"
Spain,Malaga,"Malaga, Spain"
Mexico,Manlio Fabio Altamirano,"Manlio Fabio Altamirano, Mexico"
United States,Delray Beach,"Delray Beach, United States"
United States,Seattle,"Seattle, United States"
United States,Sacramento,"Sacramento, United States"
Mexico,Los Pinos,"Los Pinos, Mexico"
Guatemala,Cabañas,"Cabañas, Guatemala"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
Honduras,Marale,"Marale, Honduras"
Mexico,San Antonio,"San Antonio, Mexico"
United States,Hicksville,"Hicksville, United States"
Mexico,Adolfo Lopez Mateos,"Adolfo Lopez Mateos, Mexico"
Mexico,Magisterial,"Magisterial, Mexico"
United States,Tampa,"Tampa, United States"
United States,Denver,"Denver, United States"
United States,Scottsdale,"Scottsdale, United States"
Honduras,Corpus,"Corpus, Honduras"
United States,Shawnee Mission,"Shawnee Mission, United States"
Mexico,Rancho Nuevo,"Rancho Nuevo, Mexico"
United States,Jackson,"Jackson, United States"
Costa Rica,Belén,"Belén, Costa Rica"
United States,Bronx,"Bronx, United States"
Spain,Pamplona/Iruña,"Pamplona/Iruña, Spain"
United States,Washington,"Washington, United States"
United States,Lincoln,"Lincoln, United States"
United States,Sacramento,"Sacramento, United States"
Honduras,Santiago Puringla,"Santiago Puringla, Honduras"
Mexico,Loma Bonita,"Loma Bonita, Mexico"
Panama,Palmira,"Palmira, Panama"
Guatemala,Monjas,"Monjas, Guatemala"
United States,Birmingham,"Birmingham, United States"
United States,Sioux Falls,"Sioux Falls, United States"
United States,Philadelphia,"Philadelphia, United States"
Guatemala,San Andrés,"San Andrés, Guatemala"
United States,San Jose,"San Jose, United States"
United States,Columbus,"Columbus, United States"
United States,Jacksonville,"Jacksonville, United States"
United States,Houston,"Houston, United States"
Panama,Agua Buena,"Agua Buena, Panama"
United States,Trenton,"Trenton, United States"
Guatemala,San Juan Bautista,"San Juan Bautista, Guatemala"
United States,Mobile,"Mobile, United States"
United States,Young America,"Young America, United States"
Mexico,Niños Heroes,"Niños Heroes, Mexico"
United States,Boston,"Boston, United States"
Costa Rica,San José,"San José, Costa Rica"
United States,Washington,"Washington, United States"
Guatemala,Cabañas,"Cabañas, Guatemala"
Costa Rica,Calle Blancos,"Calle Blancos, Costa Rica"
Mexico,Cuauhtemoc,"Cuauhtemoc, Mexico"
United States,Boston,"Boston, United States"
Spain,Pontevedra,"Pontevedra, Spain"
United States,Charlotte,"Charlotte, United States"
Spain,Pamplona/Iruña,"Pamplona/Iruña, Spain"
United States,Boise,"Boise, United States"
Costa Rica,Sámara,"Sámara, Costa Rica"
Spain,Pamplona/Iruña,"Pamplona/Iruña, Spain"
Honduras,Copán,"Copán, Honduras"
Guatemala,San Cristóbal Totonicapán,"San Cristóbal Totonicapán, Guatemala"
United States,Flushing,"Flushing, United States"
United States,Newport News,"Newport News, United States"
