country,city,general
United States,Seattle,"Seattle, United States"
Guatemala,San Antonio Aguas Calientes,"San Antonio Aguas Calientes, Guatemala"
Spain,Teruel,"Teruel, Spain"
Honduras,El Escanito,"El Escanito, Honduras"
United States,Joliet,"Joliet, United States"
Panama,Panamá,"Panamá, Panama"
Guatemala,San Lucas Sacatepéquez,"San Lucas Sacatepéquez, Guatemala"
Costa Rica,San Felipe,"San Felipe, Costa Rica"
El Salvador,Santiago de María,"Santiago de María, El Salvador"
Panama,Cerro Punta,"Cerro Punta, Panama"
Honduras,Araulí,"Araulí, Honduras"
Honduras,Las Vegas,"Las Vegas, Honduras"
Panama,Agua Buena,"Agua Buena, Panama"
United States,Los Angeles,"Los Angeles, United States"
El Salvador,Chinameca,"Chinameca, El Salvador"
United States,Hyattsville,"Hyattsville, United States"
Mexico,Miguel Aleman,"Miguel Aleman, Mexico"
United States,Springfield,"Springfield, United States"
United States,Lincoln,"Lincoln, United States"
Mexico,Fovissste,"Fovissste, Mexico"
Guatemala,San Pedro Sacatepéquez,"San Pedro Sacatepéquez, Guatemala"
Costa Rica,Esparza,"Esparza, Costa Rica"
El Salvador,Berlín,"Berlín, El Salvador"
Honduras,Dulce Nombre de Culmí,"Dulce Nombre de Culmí, Honduras"
Mexico,Las Flores,"Las Flores, Mexico"
United States,Bronx,"Bronx, United States"
United States,Maple Plain,"Maple Plain, United States"
United States,Kansas City,"Kansas City, United States"
Honduras,Puerto Alto,"Puerto Alto, Honduras"
Costa Rica,Patarrá,"Patarrá, Costa Rica"
Mexico,El Refugio,"El Refugio, Mexico"
Guatemala,Pasaco,"Pasaco, Guatemala"
Honduras,El Olivar,"El Olivar, Honduras"
United States,Fort Worth,"Fort Worth, United States"
United States,Los Angeles,"Los Angeles, United States"
Guatemala,Sacapulas,"Sacapulas, Guatemala"
Honduras,Nueva Ocotepeque,"Nueva Ocotepeque, Honduras"
Spain,Murcia,"Murcia, Spain"
United States,Greensboro,"Greensboro, United States"
Mexico,San Isidro,"San Isidro, Mexico"
Honduras,La Estancia,"La Estancia, Honduras"
Mexico,Reforma,"Reforma, Mexico"
United States,Oakland,"Oakland, United States"
United States,Sacramento,"Sacramento, United States"
El Salvador,Ciudad Arce,"Ciudad Arce, El Salvador"
Guatemala,Concepción Tutuapa,"Concepción Tutuapa, Guatemala"
United States,Denton,"Denton, United States"
United States,Iowa City,"Iowa City, United States"
United States,Lakeland,"Lakeland, United States"
United States,San Jose,"San Jose, United States"
Honduras,Tepusteca,"Tepusteca, Honduras"
United States,Jeffersonville,"Jeffersonville, United States"
Panama,San Andrés,"San Andrés, Panama"
Honduras,El Paraíso,"El Paraíso, Honduras"
United States,West Palm Beach,"West Palm Beach, United States"
Mexico,Guadalupe,"Guadalupe, Mexico"
United States,Indianapolis,"Indianapolis, United States"
Honduras,Azacualpa,"Azacualpa, Honduras"
United States,Humble,"Humble, United States"
Honduras,Agua Fría,"Agua Fría, Honduras"
United States,Indianapolis,"Indianapolis, United States"
Panama,Sioguí Abajo,"Sioguí Abajo, Panama"
United States,Roanoke,"Roanoke, United States"
Panama,La Colorada,"La Colorada, Panama"
United States,Fort Worth,"Fort Worth, United States"
Spain,Palma De Mallorca,"Palma De Mallorca, Spain"
United States,Jefferson City,"Jefferson City, United States"
Mexico,San Rafael,"San Rafael, Mexico"
United States,Cincinnati,"Cincinnati, United States"
Honduras,Joconal,"Joconal, Honduras"
Mexico,Reforma,"Reforma, Mexico"
United States,Erie,"Erie, United States"
Panama,Mulatupo,"Mulatupo, Panama"
Honduras,Quebrada Larga,"Quebrada Larga, Honduras"
United States,Springfield,"Springfield, United States"
United States,Boston,"Boston, United States"
United States,Bronx,"Bronx, United States"
Honduras,La Estancia,"La Estancia, Honduras"
Panama,Guabito,"Guabito, Panama"
Panama,Cerro Punta,"Cerro Punta, Panama"
Costa Rica,Purral,"Purral, Costa Rica"
United States,Knoxville,"Knoxville, United States"
United States,Melbourne,"Melbourne, United States"
United States,Pasadena,"Pasadena, United States"
United States,Vancouver,"Vancouver, United States"
United States,Rochester,"Rochester, United States"
United States,Columbus,"Columbus, United States"
United States,Chicago,"Chicago, United States"
United States,Kansas City,"Kansas City, United States"
Mexico,San Antonio,"San Antonio, Mexico"
United States,Atlanta,"Atlanta, United States"
Mexico,El Mirador,"El Mirador, Mexico"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
Honduras,Carbajales,"Carbajales, Honduras"
Mexico,Obrera,"Obrera, Mexico"
Honduras,Lepaterique,"Lepaterique, Honduras"
United States,Harrisburg,"Harrisburg, United States"
Guatemala,San Manuel Chaparrón,"San Manuel Chaparrón, Guatemala"
Guatemala,San Vicente Pacaya,"San Vicente Pacaya, Guatemala"
Honduras,Valle de Ángeles,"Valle de Ángeles, Honduras"
Mexico,Independencia,"Independencia, Mexico"
Mexico,La Cruz,"La Cruz, Mexico"
El Salvador,San Salvador,"San Salvador, El Salvador"
Panama,Río Alejandro,"Río Alejandro, Panama"
Mexico,Vicente Guerrero,"Vicente Guerrero, Mexico"
Panama,Los Boquerones,"Los Boquerones, Panama"
Mexico,Dante Delgado,"Dante Delgado, Mexico"
United States,Newport Beach,"Newport Beach, United States"
Mexico,La Loma,"La Loma, Mexico"
United States,Houston,"Houston, United States"
Costa Rica,Paquera,"Paquera, Costa Rica"
Spain,Sabadell,"Sabadell, Spain"
Mexico,Las Flores,"Las Flores, Mexico"
United States,Lynchburg,"Lynchburg, United States"
United States,Sacramento,"Sacramento, United States"
Mexico,Solidaridad,"Solidaridad, Mexico"
United States,Seattle,"Seattle, United States"
Honduras,El Cubolero,"El Cubolero, Honduras"
Italy,Palermo,"Palermo, Italy"
Mexico,San Sebastian,"San Sebastian, Mexico"
Spain,Santiago De Compostela,"Santiago De Compostela, Spain"
United States,Philadelphia,"Philadelphia, United States"
Guatemala,San Andrés Villa Seca,"San Andrés Villa Seca, Guatemala"
United States,San Diego,"San Diego, United States"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Costa Rica,Pital,"Pital, Costa Rica"
United States,Inglewood,"Inglewood, United States"
United States,Madison,"Madison, United States"
United States,Montgomery,"Montgomery, United States"
United States,Saint Petersburg,"Saint Petersburg, United States"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
Nicaragua,Masatepe,"Masatepe, Nicaragua"
United States,Wichita,"Wichita, United States"
United States,Peoria,"Peoria, United States"
United States,Saint Petersburg,"Saint Petersburg, United States"
Nicaragua,Telpaneca,"Telpaneca, Nicaragua"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
Honduras,Loma Alta,"Loma Alta, Honduras"
Mexico,Buenavista,"Buenavista, Mexico"
Nicaragua,Larreynaga,"Larreynaga, Nicaragua"
United States,Carlsbad,"Carlsbad, United States"
Honduras,San Ignacio,"San Ignacio, Honduras"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Costa Rica,San Diego,"San Diego, Costa Rica"
United States,Garland,"Garland, United States"
Guatemala,Concepción,"Concepción, Guatemala"
United States,Humble,"Humble, United States"
Mexico,El Mirador,"El Mirador, Mexico"
Mexico,Santiago,"Santiago, Mexico"
Mexico,La Mesa,"La Mesa, Mexico"
United States,Tacoma,"Tacoma, United States"
United States,San Diego,"San Diego, United States"
Italy,Salerno,"Salerno, Italy"
United States,Louisville,"Louisville, United States"
United States,Oklahoma City,"Oklahoma City, United States"
Mexico,Ojo de Agua,"Ojo de Agua, Mexico"
Panama,Bella Vista,"Bella Vista, Panama"
Costa Rica,Chacarita,"Chacarita, Costa Rica"
Mexico,El Limon,"El Limon, Mexico"
Honduras,Aramecina,"Aramecina, Honduras"
Mexico,Santa Cecilia,"Santa Cecilia, Mexico"
Honduras,El Perico,"El Perico, Honduras"
United States,Flushing,"Flushing, United States"
Mexico,El Calvario,"El Calvario, Mexico"
Honduras,Santa Cruz,"Santa Cruz, Honduras"
United States,Philadelphia,"Philadelphia, United States"
Costa Rica,Curridabat,"Curridabat, Costa Rica"
United States,Houston,"Houston, United States"
United States,Houston,"Houston, United States"
Honduras,Monterrey,"Monterrey, Honduras"
United States,Yonkers,"Yonkers, United States"
United States,Washington,"Washington, United States"
United States,Houston,"Houston, United States"
Guatemala,San Miguel Chicaj,"San Miguel Chicaj, Guatemala"
Panama,Alcaldedíaz,"Alcaldedíaz, Panama"
Mexico,Manlio Fabio Altamirano,"Manlio Fabio Altamirano, Mexico"
Costa Rica,Batán,"Batán, Costa Rica"
United States,Alexandria,"Alexandria, United States"
United States,Washington,"Washington, United States"
United States,Sacramento,"Sacramento, United States"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
Honduras,San Marcos,"San Marcos, Honduras"
Panama,Pueblo Viejo,"Pueblo Viejo, Panama"
Honduras,El Paraíso,"El Paraíso, Honduras"
United States,Saint Louis,"Saint Louis, United States"
Honduras,Nuevo Chamelecón,"Nuevo Chamelecón, Honduras"
United States,Greenville,"Greenville, United States"
Mexico,San Francisco,"San Francisco, Mexico"
United States,Orlando,"Orlando, United States"
Mexico,Loma Alta,"Loma Alta, Mexico"
Honduras,Agualote,"Agualote, Honduras"
Nicaragua,San Ramón,"San Ramón, Nicaragua"
Panama,Alcaldedíaz,"Alcaldedíaz, Panama"
United States,New York City,"New York City, United States"
United States,Sacramento,"Sacramento, United States"
Mexico,San Antonio,"San Antonio, Mexico"
United States,Springfield,"Springfield, United States"
United States,Springfield,"Springfield, United States"
Italy,Milano,"Milano, Italy"
United States,Toledo,"Toledo, United States"
United States,Santa Ana,"Santa Ana, United States"
Honduras,El Ocotón,"El Ocotón, Honduras"
United States,New Haven,"New Haven, United States"
Mexico,El Mirador,"El Mirador, Mexico"
United States,Minneapolis,"Minneapolis, United States"
Nicaragua,El Rosario,"El Rosario, Nicaragua"
Mexico,El Refugio,"El Refugio, Mexico"
United States,Fairbanks,"Fairbanks, United States"
United States,Fort Worth,"Fort Worth, United States"
Panama,Capellanía,"Capellanía, Panama"
Mexico,San Francisco,"San Francisco, Mexico"
United States,Sunnyvale,"Sunnyvale, United States"
United States,Norfolk,"Norfolk, United States"
Mexico,San Antonio,"San Antonio, Mexico"
United States,Reno,"Reno, United States"
Honduras,Monjarás,"Monjarás, Honduras"
United States,Reno,"Reno, United States"
Honduras,Corquín,"Corquín, Honduras"
Italy,Roma,"Roma, Italy"
Mexico,San Sebastian,"San Sebastian, Mexico"
Italy,Roma,"Roma, Italy"
United States,Johnson City,"Johnson City, United States"
Mexico,San Francisco,"San Francisco, Mexico"
United States,Las Vegas,"Las Vegas, United States"
Guatemala,Joyabaj,"Joyabaj, Guatemala"
Honduras,Mangulile,"Mangulile, Honduras"
United States,Charlotte,"Charlotte, United States"
United States,Fort Worth,"Fort Worth, United States"
El Salvador,El Rosario,"El Rosario, El Salvador"
United States,El Paso,"El Paso, United States"
Guatemala,Cabricán,"Cabricán, Guatemala"
Mexico,Santa Fe,"Santa Fe, Mexico"
United States,Greensboro,"Greensboro, United States"
Mexico,Rafael Hernandez Ochoa,"Rafael Hernandez Ochoa, Mexico"
United States,Lubbock,"Lubbock, United States"
Guatemala,Huité,"Huité, Guatemala"
United States,Lynchburg,"Lynchburg, United States"
Guatemala,San Juan Sacatepéquez,"San Juan Sacatepéquez, Guatemala"
Spain,Badajoz,"Badajoz, Spain"
Panama,El Rincón,"El Rincón, Panama"
Honduras,Camalote,"Camalote, Honduras"
Honduras,La Lima,"La Lima, Honduras"
United States,Atlanta,"Atlanta, United States"
United States,Stockton,"Stockton, United States"
Mexico,Las Palmas,"Las Palmas, Mexico"
United States,Lexington,"Lexington, United States"
Mexico,San Lorenzo,"San Lorenzo, Mexico"
United States,Syracuse,"Syracuse, United States"
Panama,La Colorada,"La Colorada, Panama"
Costa Rica,Colima,"Colima, Costa Rica"
United States,Inglewood,"Inglewood, United States"
United States,Denver,"Denver, United States"
United States,Colorado Springs,"Colorado Springs, United States"
United States,Tacoma,"Tacoma, United States"
United States,Montgomery,"Montgomery, United States"
United States,San Francisco,"San Francisco, United States"
Guatemala,Huité,"Huité, Guatemala"
United States,Atlanta,"Atlanta, United States"
United States,Kansas City,"Kansas City, United States"
United States,New York City,"New York City, United States"
United States,Grand Rapids,"Grand Rapids, United States"
Mexico,Manlio Fabio Altamirano,"Manlio Fabio Altamirano, Mexico"
Mexico,Jardin,"Jardin, Mexico"
United States,Indianapolis,"Indianapolis, United States"
Honduras,Buenos Aires,"Buenos Aires, Honduras"
United States,Las Vegas,"Las Vegas, United States"
Mexico,Tierra y Libertad,"Tierra y Libertad, Mexico"
United States,Stamford,"Stamford, United States"
Guatemala,Zaragoza,"Zaragoza, Guatemala"
United States,Schenectady,"Schenectady, United States"
United States,Phoenix,"Phoenix, United States"
Mexico,San Francisco,"San Francisco, Mexico"
Mexico,Vicente Guerrero,"Vicente Guerrero, Mexico"
Italy,Firenze,"Firenze, Italy"
Nicaragua,Juigalpa,"Juigalpa, Nicaragua"
United States,El Paso,"El Paso, United States"
Italy,Reggio Calabria,"Reggio Calabria, Italy"
United States,Denton,"Denton, United States"
Costa Rica,San José,"San José, Costa Rica"
Spain,Castellon De La Plana/Castello De La Pla,"Castellon De La Plana/Castello De La Pla, Spain"
Nicaragua,Dolores,"Dolores, Nicaragua"
Honduras,Monterrey,"Monterrey, Honduras"
Mexico,Las Americas,"Las Americas, Mexico"
United States,Portland,"Portland, United States"
Honduras,El Ocotón,"El Ocotón, Honduras"
Mexico,San Francisco,"San Francisco, Mexico"
Mexico,Guadalupe Victoria,"Guadalupe Victoria, Mexico"
United States,Kansas City,"Kansas City, United States"
United States,Kansas City,"Kansas City, United States"
Honduras,Quebrada de Arena,"Quebrada de Arena, Honduras"
Honduras,Cañaveral,"Cañaveral, Honduras"
United States,Seattle,"Seattle, United States"
United States,Washington,"Washington, United States"
United States,Las Vegas,"Las Vegas, United States"
Honduras,El Bálsamo,"El Bálsamo, Honduras"
Costa Rica,Purral,"Purral, Costa Rica"
United States,Arlington,"Arlington, United States"
United States,Dallas,"Dallas, United States"
United States,Colorado Springs,"Colorado Springs, United States"
Guatemala,Oratorio,"Oratorio, Guatemala"
Mexico,Niños Heroes,"Niños Heroes, Mexico"
Mexico,San Sebastian,"San Sebastian, Mexico"
Guatemala,Mataquescuintla,"Mataquescuintla, Guatemala"
United States,Clearwater,"Clearwater, United States"
Panama,San Miguelito,"San Miguelito, Panama"
Honduras,Sulaco,"Sulaco, Honduras"
Costa Rica,La Suiza,"La Suiza, Costa Rica"
United States,Akron,"Akron, United States"
United States,Chesapeake,"Chesapeake, United States"
Italy,Roma,"Roma, Italy"
United States,Shreveport,"Shreveport, United States"
United States,Pasadena,"Pasadena, United States"
Honduras,Potrerillos,"Potrerillos, Honduras"
United States,San Diego,"San Diego, United States"
Mexico,Nicolas Bravo,"Nicolas Bravo, Mexico"
Mexico,Santa Cruz,"Santa Cruz, Mexico"
Honduras,"Las Vegas, Santa Barbara","Las Vegas, Santa Barbara, Honduras"
Guatemala,La Unión,"La Unión, Guatemala"
United States,Charlotte,"Charlotte, United States"
Mexico,San Francisco,"San Francisco, Mexico"
Honduras,El Agua Dulcita,"El Agua Dulcita, Honduras"
Spain,Getafe,"Getafe, Spain"
United States,Philadelphia,"Philadelphia, United States"
Mexico,San Miguel,"San Miguel, Mexico"
United States,Chicago,"Chicago, United States"
United States,Atlanta,"Atlanta, United States"
United States,Las Vegas,"Las Vegas, United States"
Honduras,La Guata,"La Guata, Honduras"
Guatemala,Atescatempa,"Atescatempa, Guatemala"
United States,El Paso,"El Paso, United States"
United States,Johnson City,"Johnson City, United States"
United States,San Diego,"San Diego, United States"
Guatemala,Jocotenango,"Jocotenango, Guatemala"
Italy,Venezia,"Venezia, Italy"
United States,Austin,"Austin, United States"
Mexico,Santa Elena,"Santa Elena, Mexico"
Panama,Changuinola,"Changuinola, Panama"
United States,Shawnee Mission,"Shawnee Mission, United States"
Mexico,Las Flores,"Las Flores, Mexico"
Panama,El Coco,"El Coco, Panama"
Mexico,Niños Heroes,"Niños Heroes, Mexico"
Italy,Cagliari,"Cagliari, Italy"
Mexico,Tierra Blanca,"Tierra Blanca, Mexico"
United States,Asheville,"Asheville, United States"
United States,Dearborn,"Dearborn, United States"
Spain,Leon,"Leon, Spain"
United States,Little Rock,"Little Rock, United States"
Guatemala,Oratorio,"Oratorio, Guatemala"
United States,Dulles,"Dulles, United States"
Guatemala,Samayac,"Samayac, Guatemala"
Guatemala,Cunén,"Cunén, Guatemala"
Guatemala,San Luis Ixcán,"San Luis Ixcán, Guatemala"
United States,Milwaukee,"Milwaukee, United States"
Guatemala,San Lucas Tolimán,"San Lucas Tolimán, Guatemala"
Spain,Palencia,"Palencia, Spain"
United States,Fresno,"Fresno, United States"
Honduras,Nueva Ocotepeque,"Nueva Ocotepeque, Honduras"
Nicaragua,Las Sabanas,"Las Sabanas, Nicaragua"
Honduras,Veracruz,"Veracruz, Honduras"
Panama,Cañazas,"Cañazas, Panama"
El Salvador,Chalchuapa,"Chalchuapa, El Salvador"
Costa Rica,Colima,"Colima, Costa Rica"
United States,Dallas,"Dallas, United States"
Italy,Napoli,"Napoli, Italy"
United States,Tulsa,"Tulsa, United States"
Guatemala,Taxisco,"Taxisco, Guatemala"
United States,Gainesville,"Gainesville, United States"
Guatemala,Palestina de los Altos,"Palestina de los Altos, Guatemala"
Nicaragua,La Concepción,"La Concepción, Nicaragua"
Mexico,Guadalupe,"Guadalupe, Mexico"
Guatemala,Santa María Chiquimula,"Santa María Chiquimula, Guatemala"
United States,Grand Rapids,"Grand Rapids, United States"
Mexico,Fovissste,"Fovissste, Mexico"
Panama,Pueblo Viejo,"Pueblo Viejo, Panama"
United States,Boston,"Boston, United States"
Guatemala,Ipala,"Ipala, Guatemala"
El Salvador,Ciudad Arce,"Ciudad Arce, El Salvador"
United States,Tallahassee,"Tallahassee, United States"
Panama,Bejuco,"Bejuco, Panama"
Panama,Chame,"Chame, Panama"
United States,Salinas,"Salinas, United States"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
United States,Columbus,"Columbus, United States"
Mexico,San Pedro,"San Pedro, Mexico"
Honduras,Arada,"Arada, Honduras"
United States,Gainesville,"Gainesville, United States"
United States,Saint Paul,"Saint Paul, United States"
Guatemala,San Felipe,"San Felipe, Guatemala"
United States,Durham,"Durham, United States"
United States,Paterson,"Paterson, United States"
Mexico,Buenavista,"Buenavista, Mexico"
United States,Knoxville,"Knoxville, United States"
United States,Dallas,"Dallas, United States"
United States,Knoxville,"Knoxville, United States"
United States,San Jose,"San Jose, United States"
United States,Tucson,"Tucson, United States"
Guatemala,Pueblo Nuevo Viñas,"Pueblo Nuevo Viñas, Guatemala"
Guatemala,Senahú,"Senahú, Guatemala"
Panama,Quebrada Canoa,"Quebrada Canoa, Panama"
Honduras,Petoa,"Petoa, Honduras"
Spain,Malaga,"Malaga, Spain"
Nicaragua,Tola,"Tola, Nicaragua"
Italy,Milano,"Milano, Italy"
United States,Saint Paul,"Saint Paul, United States"
Costa Rica,Patarrá,"Patarrá, Costa Rica"
United States,Seattle,"Seattle, United States"
United States,Dulles,"Dulles, United States"
Mexico,Miguel Hidalgo,"Miguel Hidalgo, Mexico"
Mexico,San Antonio,"San Antonio, Mexico"
Guatemala,El Adelanto,"El Adelanto, Guatemala"
Honduras,Pueblo Nuevo,"Pueblo Nuevo, Honduras"
Mexico,Reforma,"Reforma, Mexico"
Panama,Quebrada Canoa,"Quebrada Canoa, Panama"
United States,Tulsa,"Tulsa, United States"
United States,Daytona Beach,"Daytona Beach, United States"
United States,Colorado Springs,"Colorado Springs, United States"
Costa Rica,Juntas,"Juntas, Costa Rica"
Costa Rica,Cañas,"Cañas, Costa Rica"
Mexico,San Miguel,"San Miguel, Mexico"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Spain,Lleida,"Lleida, Spain"
Mexico,Santa Maria,"Santa Maria, Mexico"
Costa Rica,Guadalupe,"Guadalupe, Costa Rica"
Mexico,Francisco Villa,"Francisco Villa, Mexico"
Costa Rica,Bagaces,"Bagaces, Costa Rica"
Honduras,El Guapinol,"El Guapinol, Honduras"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
United States,San Jose,"San Jose, United States"
United States,Billings,"Billings, United States"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
Mexico,Alvaro Obregon,"Alvaro Obregon, Mexico"
Honduras,El Escanito,"El Escanito, Honduras"
United States,Memphis,"Memphis, United States"
El Salvador,Guazapa,"Guazapa, El Salvador"
United States,New York City,"New York City, United States"
Nicaragua,Managua,"Managua, Nicaragua"
Mexico,Manuel Cavazos Lerma,"Manuel Cavazos Lerma, Mexico"
United States,Charlotte,"Charlotte, United States"
Panama,Alto de la Estancia,"Alto de la Estancia, Panama"
Italy,Genova,"Genova, Italy"
United States,El Paso,"El Paso, United States"
United States,Tempe,"Tempe, United States"
Mexico,Alameda,"Alameda, Mexico"
United States,Stockton,"Stockton, United States"
Mexico,Independencia,"Independencia, Mexico"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
United States,Baton Rouge,"Baton Rouge, United States"
United States,Wilmington,"Wilmington, United States"
Panama,Chame,"Chame, Panama"
United States,Kansas City,"Kansas City, United States"
Honduras,Buenos Aires,"Buenos Aires, Honduras"
Honduras,Santa Cruz,"Santa Cruz, Honduras"
Nicaragua,Yalagüina,"Yalagüina, Nicaragua"
Mexico,Ejidal,"Ejidal, Mexico"
United States,Rochester,"Rochester, United States"
United States,Washington,"Washington, United States"
Guatemala,Taxisco,"Taxisco, Guatemala"
Panama,San Ignacio de Tupile,"San Ignacio de Tupile, Panama"
Spain,Madrid,"Madrid, Spain"
Panama,Bella Vista,"Bella Vista, Panama"
Honduras,Quebrada Larga,"Quebrada Larga, Honduras"
Costa Rica,Ipís,"Ipís, Costa Rica"
United States,Garland,"Garland, United States"
Guatemala,Palencia,"Palencia, Guatemala"
Mexico,El Mirador,"El Mirador, Mexico"
Italy,Roma,"Roma, Italy"
United States,Boca Raton,"Boca Raton, United States"
El Salvador,Santiago Nonualco,"Santiago Nonualco, El Salvador"
Italy,Roma,"Roma, Italy"
United States,Dallas,"Dallas, United States"
United States,Columbus,"Columbus, United States"
United States,Santa Fe,"Santa Fe, United States"
Mexico,El Cerrito,"El Cerrito, Mexico"
United States,Boca Raton,"Boca Raton, United States"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
United States,Fairbanks,"Fairbanks, United States"
Honduras,Cañaveral,"Cañaveral, Honduras"
Nicaragua,Chichigalpa,"Chichigalpa, Nicaragua"
United States,Santa Fe,"Santa Fe, United States"
United States,Boise,"Boise, United States"
El Salvador,Cacaopera,"Cacaopera, El Salvador"
United States,Shreveport,"Shreveport, United States"
Nicaragua,Boaco,"Boaco, Nicaragua"
Guatemala,San Miguel Ixtahuacán,"San Miguel Ixtahuacán, Guatemala"
United States,Houston,"Houston, United States"
Panama,Las Tablas,"Las Tablas, Panama"
United States,Stamford,"Stamford, United States"
Honduras,Joconal,"Joconal, Honduras"
Panama,Guabito,"Guabito, Panama"
Honduras,San Marcos,"San Marcos, Honduras"
United States,Jamaica,"Jamaica, United States"
El Salvador,Rosario de Mora,"Rosario de Mora, El Salvador"
Panama,Sioguí Abajo,"Sioguí Abajo, Panama"
Nicaragua,Managua,"Managua, Nicaragua"
Costa Rica,Curridabat,"Curridabat, Costa Rica"
El Salvador,Santa Rosa de Lima,"Santa Rosa de Lima, El Salvador"
Italy,Roma,"Roma, Italy"
Honduras,El Marañón,"El Marañón, Honduras"
Costa Rica,Curridabat,"Curridabat, Costa Rica"
United States,Jackson,"Jackson, United States"
Mexico,El Capulin,"El Capulin, Mexico"
Honduras,Orocuina,"Orocuina, Honduras"
Costa Rica,Cañas,"Cañas, Costa Rica"
Guatemala,San Andrés Xecul,"San Andrés Xecul, Guatemala"
Honduras,Azacualpa,"Azacualpa, Honduras"
Mexico,San Antonio,"San Antonio, Mexico"
Italy,Torino,"Torino, Italy"
United States,Schaumburg,"Schaumburg, United States"
Honduras,Cane,"Cane, Honduras"
Honduras,Yuscarán,"Yuscarán, Honduras"
United States,Madison,"Madison, United States"
Mexico,San Juan,"San Juan, Mexico"
United States,Midland,"Midland, United States"
Mexico,Buenavista,"Buenavista, Mexico"
Costa Rica,Guadalupe,"Guadalupe, Costa Rica"
Honduras,El Triunfo,"El Triunfo, Honduras"
Mexico,Juan N Alvarez,"Juan N Alvarez, Mexico"
Honduras,Guaimaca,"Guaimaca, Honduras"
United States,Chicago,"Chicago, United States"
United States,Iowa City,"Iowa City, United States"
United States,Pasadena,"Pasadena, United States"
United States,Jacksonville,"Jacksonville, United States"
United States,Amarillo,"Amarillo, United States"
Honduras,El Llano,"El Llano, Honduras"
Guatemala,Mataquescuintla,"Mataquescuintla, Guatemala"
Honduras,El Progreso,"El Progreso, Honduras"
United States,Knoxville,"Knoxville, United States"
United States,Fort Worth,"Fort Worth, United States"
Mexico,Linda Vista,"Linda Vista, Mexico"
Mexico,Lindavista,"Lindavista, Mexico"
United States,Odessa,"Odessa, United States"
United States,Sioux City,"Sioux City, United States"
Italy,Salerno,"Salerno, Italy"
United States,Flushing,"Flushing, United States"
Italy,Palermo,"Palermo, Italy"
United States,Erie,"Erie, United States"
Honduras,Valle de Ángeles,"Valle de Ángeles, Honduras"
Guatemala,Pastores,"Pastores, Guatemala"
United States,Muskegon,"Muskegon, United States"
United States,Jacksonville,"Jacksonville, United States"
