country,city,general
Honduras,San José de Colinas,"San José de Colinas, Honduras"
Mexico,San Jose,"San Jose, Mexico"
United States,Charlotte,"Charlotte, United States"
United States,Hyattsville,"Hyattsville, United States"
United States,Philadelphia,"Philadelphia, United States"
Honduras,La Guama,"La Guama, Honduras"
Mexico,Buenavista,"Buenavista, Mexico"
United States,Des Moines,"Des Moines, United States"
United States,Grand Rapids,"Grand Rapids, United States"
Panama,Aguadulce,"Aguadulce, Panama"
Panama,Alcaldedíaz,"Alcaldedíaz, Panama"
Mexico,Los Angeles,"Los Angeles, Mexico"
Italy,Roma,"Roma, Italy"
United States,Milwaukee,"Milwaukee, United States"
United States,Long Beach,"Long Beach, United States"
El Salvador,San Agustín,"San Agustín, El Salvador"
Honduras,Ojos de Agua,"Ojos de Agua, Honduras"
United States,Tampa,"Tampa, United States"
Mexico,Guadalupe,"Guadalupe, Mexico"
Mexico,El Alamo,"El Alamo, Mexico"
Guatemala,Taxisco,"Taxisco, Guatemala"
Nicaragua,Jiquilillo,"Jiquilillo, Nicaragua"
United States,Colorado Springs,"Colorado Springs, United States"
Mexico,Santa Maria,"Santa Maria, Mexico"
Mexico,San Antonio,"San Antonio, Mexico"
Mexico,La Huerta,"La Huerta, Mexico"
Guatemala,San Andrés,"San Andrés, Guatemala"
United States,Huntsville,"Huntsville, United States"
United States,Young America,"Young America, United States"
Honduras,San Francisco de la Paz,"San Francisco de la Paz, Honduras"
United States,Milwaukee,"Milwaukee, United States"
United States,Roanoke,"Roanoke, United States"
United States,Las Vegas,"Las Vegas, United States"
Guatemala,San Cristóbal Totonicapán,"San Cristóbal Totonicapán, Guatemala"
United States,Tampa,"Tampa, United States"
United States,Richmond,"Richmond, United States"
Nicaragua,Puerto Cabezas,"Puerto Cabezas, Nicaragua"
Mexico,Santa Cruz,"Santa Cruz, Mexico"
United States,Birmingham,"Birmingham, United States"
Mexico,San Jose,"San Jose, Mexico"
United States,Naperville,"Naperville, United States"
United States,Beaufort,"Beaufort, United States"
Honduras,Florida,"Florida, Honduras"
Mexico,Los Pinos,"Los Pinos, Mexico"
Nicaragua,El Crucero,"El Crucero, Nicaragua"
Guatemala,Parramos,"Parramos, Guatemala"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Guatemala,Morazán,"Morazán, Guatemala"
United States,Fargo,"Fargo, United States"
Honduras,Salamá,"Salamá, Honduras"
United States,Springfield,"Springfield, United States"
Costa Rica,Bejuco,"Bejuco, Costa Rica"
Italy,Messina,"Messina, Italy"
United States,Houston,"Houston, United States"
Nicaragua,El Realejo,"El Realejo, Nicaragua"
United States,Evansville,"Evansville, United States"
Honduras,Valle de Ángeles,"Valle de Ángeles, Honduras"
Mexico,Tierra y Libertad,"Tierra y Libertad, Mexico"
Costa Rica,Cañas,"Cañas, Costa Rica"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
United States,Washington,"Washington, United States"
Mexico,El Zapote,"El Zapote, Mexico"
United States,Saint Joseph,"Saint Joseph, United States"
United States,Inglewood,"Inglewood, United States"
Costa Rica,La Suiza,"La Suiza, Costa Rica"
Mexico,La Laguna,"La Laguna, Mexico"
Mexico,Hidalgo,"Hidalgo, Mexico"
Mexico,El Calvario,"El Calvario, Mexico"
Mexico,Santo Tomas,"Santo Tomas, Mexico"
Costa Rica,La Fortuna,"La Fortuna, Costa Rica"
Panama,Pueblo Nuevo,"Pueblo Nuevo, Panama"
United States,Orlando,"Orlando, United States"
United States,El Paso,"El Paso, United States"
United States,Washington,"Washington, United States"
Panama,El Coco,"El Coco, Panama"
United States,Lexington,"Lexington, United States"
Guatemala,San Andrés,"San Andrés, Guatemala"
United States,Washington,"Washington, United States"
Panama,Guadalupe,"Guadalupe, Panama"
United States,Milwaukee,"Milwaukee, United States"
Honduras,Cañaveral,"Cañaveral, Honduras"
Guatemala,Patulul,"Patulul, Guatemala"
United States,Colorado Springs,"Colorado Springs, United States"
United States,Naples,"Naples, United States"
Guatemala,Esquipulas Palo Gordo,"Esquipulas Palo Gordo, Guatemala"
United States,Salt Lake City,"Salt Lake City, United States"
United States,Sacramento,"Sacramento, United States"
United States,Honolulu,"Honolulu, United States"
Spain,Valencia,"Valencia, Spain"
United States,San Jose,"San Jose, United States"
Nicaragua,San José de Cusmapa,"San José de Cusmapa, Nicaragua"
United States,Sparks,"Sparks, United States"
United States,Reno,"Reno, United States"
Guatemala,Santa Catarina Barahona,"Santa Catarina Barahona, Guatemala"
Panama,Pocrí,"Pocrí, Panama"
Honduras,Mojimán,"Mojimán, Honduras"
United States,New York City,"New York City, United States"
United States,Columbia,"Columbia, United States"
United States,Houston,"Houston, United States"
Guatemala,La Unión,"La Unión, Guatemala"
United States,Oakland,"Oakland, United States"
Honduras,Cerro Blanco,"Cerro Blanco, Honduras"
Mexico,El Calvario,"El Calvario, Mexico"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
United States,Topeka,"Topeka, United States"
Mexico,San Isidro,"San Isidro, Mexico"
Mexico,Buenavista,"Buenavista, Mexico"
Mexico,Lazaro Cardenas,"Lazaro Cardenas, Mexico"
United States,Scottsdale,"Scottsdale, United States"
Mexico,Guadalupe,"Guadalupe, Mexico"
United States,Oklahoma City,"Oklahoma City, United States"
Honduras,Travesía,"Travesía, Honduras"
United States,Newport News,"Newport News, United States"
United States,Corpus Christi,"Corpus Christi, United States"
Italy,Perugia,"Perugia, Italy"
United States,Pittsburgh,"Pittsburgh, United States"
United States,Greensboro,"Greensboro, United States"
Panama,Río de Jesús,"Río de Jesús, Panama"
Honduras,La Virtud,"La Virtud, Honduras"
Spain,Sevilla,"Sevilla, Spain"
Panama,La Palma,"La Palma, Panama"
Spain,Almeria,"Almeria, Spain"
United States,Naples,"Naples, United States"
Panama,Sabanitas,"Sabanitas, Panama"
United States,Greensboro,"Greensboro, United States"
Honduras,Veracruz,"Veracruz, Honduras"
Mexico,Santa Rosa,"Santa Rosa, Mexico"
Guatemala,Puerto Barrios,"Puerto Barrios, Guatemala"
Mexico,Alameda,"Alameda, Mexico"
United States,Pasadena,"Pasadena, United States"
United States,Los Angeles,"Los Angeles, United States"
United States,Miami,"Miami, United States"
Guatemala,San Bartolomé Milpas Altas,"San Bartolomé Milpas Altas, Guatemala"
Honduras,Langue,"Langue, Honduras"
United States,San Jose,"San Jose, United States"
Mexico,Ignacio Zaragoza,"Ignacio Zaragoza, Mexico"
Nicaragua,Morrito,"Morrito, Nicaragua"
Guatemala,San Jerónimo,"San Jerónimo, Guatemala"
Spain,"Coruña, A","Coruña, A, Spain"
United States,Albuquerque,"Albuquerque, United States"
Mexico,Morelos,"Morelos, Mexico"
United States,Dallas,"Dallas, United States"
Mexico,Morelos,"Morelos, Mexico"
United States,New York City,"New York City, United States"
United States,Springfield,"Springfield, United States"
Costa Rica,Nandayure,"Nandayure, Costa Rica"
Mexico,Pueblo Nuevo,"Pueblo Nuevo, Mexico"
Panama,Mulatupo,"Mulatupo, Panama"
Honduras,San José,"San José, Honduras"
United States,Fort Worth,"Fort Worth, United States"
United States,Cumming,"Cumming, United States"
Guatemala,Ipala,"Ipala, Guatemala"
Italy,Brescia,"Brescia, Italy"
United States,Bakersfield,"Bakersfield, United States"
Honduras,Aguas del Padre,"Aguas del Padre, Honduras"
United States,Scranton,"Scranton, United States"
Mexico,San Agustin,"San Agustin, Mexico"
United States,Evansville,"Evansville, United States"
United States,Grand Forks,"Grand Forks, United States"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Mexico,Niños Heroes,"Niños Heroes, Mexico"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
United States,Miami,"Miami, United States"
United States,Joliet,"Joliet, United States"
Spain,Tarragona,"Tarragona, Spain"
Mexico,Guadalupe Victoria,"Guadalupe Victoria, Mexico"
United States,Newton,"Newton, United States"
United States,Port Saint Lucie,"Port Saint Lucie, United States"
Nicaragua,Laguna de Perlas,"Laguna de Perlas, Nicaragua"
United States,Dallas,"Dallas, United States"
United States,Bloomington,"Bloomington, United States"
Honduras,Jocón,"Jocón, Honduras"
United States,Houston,"Houston, United States"
Spain,Santander,"Santander, Spain"
Costa Rica,Salitrillos,"Salitrillos, Costa Rica"
United States,Alhambra,"Alhambra, United States"
Costa Rica,Guápiles,"Guápiles, Costa Rica"
Nicaragua,Yalagüina,"Yalagüina, Nicaragua"
United States,Oklahoma City,"Oklahoma City, United States"
United States,Duluth,"Duluth, United States"
Spain,Malaga,"Malaga, Spain"
United States,Chicago,"Chicago, United States"
United States,Oklahoma City,"Oklahoma City, United States"
United States,Reston,"Reston, United States"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
Costa Rica,San Rafael,"San Rafael, Costa Rica"
United States,North Little Rock,"North Little Rock, United States"
United States,Shreveport,"Shreveport, United States"
Honduras,San Esteban,"San Esteban, Honduras"
United States,Toledo,"Toledo, United States"
United States,Lawrenceville,"Lawrenceville, United States"
United States,Philadelphia,"Philadelphia, United States"
Mexico,La Soledad,"La Soledad, Mexico"
Italy,Pescara,"Pescara, Italy"
Guatemala,Guanagazapa,"Guanagazapa, Guatemala"
United States,San Francisco,"San Francisco, United States"
United States,Colorado Springs,"Colorado Springs, United States"
United States,Corpus Christi,"Corpus Christi, United States"
United States,Orlando,"Orlando, United States"
Panama,San Vicente de Bique,"San Vicente de Bique, Panama"
United States,Oklahoma City,"Oklahoma City, United States"
Guatemala,San Miguel Dueñas,"San Miguel Dueñas, Guatemala"
Mexico,Pueblo Nuevo,"Pueblo Nuevo, Mexico"
Mexico,Fovissste,"Fovissste, Mexico"
United States,Akron,"Akron, United States"
Costa Rica,Esquipulas,"Esquipulas, Costa Rica"
United States,Roanoke,"Roanoke, United States"
Mexico,Infonavit,"Infonavit, Mexico"
Spain,"Palmas De Gran Canaria, Las","Palmas De Gran Canaria, Las, Spain"
United States,Arlington,"Arlington, United States"
United States,Springfield,"Springfield, United States"
United States,Brooklyn,"Brooklyn, United States"
United States,Oklahoma City,"Oklahoma City, United States"
Mexico,Fovissste,"Fovissste, Mexico"
Panama,Puerto Obaldía,"Puerto Obaldía, Panama"
Italy,Mestre,"Mestre, Italy"
Costa Rica,Colima,"Colima, Costa Rica"
United States,Houston,"Houston, United States"
Italy,Venezia,"Venezia, Italy"
United States,Houston,"Houston, United States"
United States,Atlanta,"Atlanta, United States"
Panama,Nuevo Arraiján,"Nuevo Arraiján, Panama"
Mexico,Progreso,"Progreso, Mexico"
United States,Portland,"Portland, United States"
Guatemala,Yepocapa,"Yepocapa, Guatemala"
Costa Rica,San Pedro,"San Pedro, Costa Rica"
Guatemala,Chisec,"Chisec, Guatemala"
Honduras,Santa Lucía,"Santa Lucía, Honduras"
Mexico,Emiliano Zapata,"Emiliano Zapata, Mexico"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Spain,Madrid,"Madrid, Spain"
United States,Evansville,"Evansville, United States"
Spain,Pontevedra,"Pontevedra, Spain"
United States,Chicago,"Chicago, United States"
Costa Rica,Pocora,"Pocora, Costa Rica"
United States,North Little Rock,"North Little Rock, United States"
Honduras,San Agustín,"San Agustín, Honduras"
Spain,Zamora,"Zamora, Spain"
Honduras,Yaruchel,"Yaruchel, Honduras"
Spain,Malaga,"Malaga, Spain"
United States,Akron,"Akron, United States"
Panama,David,"David, Panama"
Nicaragua,Laguna de Perlas,"Laguna de Perlas, Nicaragua"
United States,Des Moines,"Des Moines, United States"
Costa Rica,Paraíso,"Paraíso, Costa Rica"
Mexico,Anahuac,"Anahuac, Mexico"
Honduras,Travesía,"Travesía, Honduras"
United States,Migrate,"Migrate, United States"
Mexico,Vicente Guerrero,"Vicente Guerrero, Mexico"
Mexico,Francisco Sarabia,"Francisco Sarabia, Mexico"
United States,Washington,"Washington, United States"
Mexico,Reforma,"Reforma, Mexico"
United States,Lexington,"Lexington, United States"
Honduras,Ocote Paulino,"Ocote Paulino, Honduras"
United States,Huntington,"Huntington, United States"
Mexico,La Reforma,"La Reforma, Mexico"
United States,Saint Louis,"Saint Louis, United States"
Guatemala,San Bernardino,"San Bernardino, Guatemala"
Honduras,Yoro,"Yoro, Honduras"
Mexico,Morelos,"Morelos, Mexico"
United States,El Paso,"El Paso, United States"
Honduras,Liure,"Liure, Honduras"
Mexico,El Rosario,"El Rosario, Mexico"
Mexico,San Antonio,"San Antonio, Mexico"
United States,Chattanooga,"Chattanooga, United States"
Mexico,San Pedro,"San Pedro, Mexico"
Mexico,El Refugio,"El Refugio, Mexico"
United States,Charlottesville,"Charlottesville, United States"
Honduras,Las Trojes,"Las Trojes, Honduras"
United States,Salinas,"Salinas, United States"
United States,Jackson,"Jackson, United States"
United States,San Antonio,"San Antonio, United States"
United States,Fort Worth,"Fort Worth, United States"
Guatemala,Pajapita,"Pajapita, Guatemala"
United States,Austin,"Austin, United States"
United States,Dallas,"Dallas, United States"
Honduras,Monjarás,"Monjarás, Honduras"
Panama,Capellanía,"Capellanía, Panama"
United States,Baton Rouge,"Baton Rouge, United States"
Panama,David,"David, Panama"
Mexico,La Soledad,"La Soledad, Mexico"
Spain,Elx/Elche,"Elx/Elche, Spain"
United States,Naples,"Naples, United States"
Panama,Cartí Suitupo,"Cartí Suitupo, Panama"
United States,Shawnee Mission,"Shawnee Mission, United States"
Mexico,Santa Maria,"Santa Maria, Mexico"
Honduras,Armenia,"Armenia, Honduras"
El Salvador,Santa Tecla,"Santa Tecla, El Salvador"
Spain,Aviles,"Aviles, Spain"
United States,Jefferson City,"Jefferson City, United States"
Mexico,Guadalupe,"Guadalupe, Mexico"
Mexico,Guadalupe,"Guadalupe, Mexico"
Spain,Vigo,"Vigo, Spain"
Panama,Guadalupe,"Guadalupe, Panama"
Spain,Sevilla,"Sevilla, Spain"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
United States,Charlotte,"Charlotte, United States"
United States,High Point,"High Point, United States"
Honduras,Tocoa,"Tocoa, Honduras"
Honduras,Nueva Ocotepeque,"Nueva Ocotepeque, Honduras"
United States,Brooklyn,"Brooklyn, United States"
Mexico,Los Mangos,"Los Mangos, Mexico"
United States,Charleston,"Charleston, United States"
United States,Rochester,"Rochester, United States"
Mexico,Vicente Guerrero,"Vicente Guerrero, Mexico"
Mexico,Obrera,"Obrera, Mexico"
Nicaragua,Ciudad Darío,"Ciudad Darío, Nicaragua"
Spain,Madrid,"Madrid, Spain"
United States,Chicago,"Chicago, United States"
Italy,Padova,"Padova, Italy"
Guatemala,Santa Bárbara,"Santa Bárbara, Guatemala"
Mexico,San Jose,"San Jose, Mexico"
Guatemala,Pajapita,"Pajapita, Guatemala"
United States,Orlando,"Orlando, United States"
United States,San Bernardino,"San Bernardino, United States"
United States,Garland,"Garland, United States"
United States,Los Angeles,"Los Angeles, United States"
Panama,Las Tablas,"Las Tablas, Panama"
Mexico,Parque Industrial,"Parque Industrial, Mexico"
Spain,Vitoria-Gasteiz,"Vitoria-Gasteiz, Spain"
Mexico,San Juan,"San Juan, Mexico"
Mexico,Cuauhtemoc,"Cuauhtemoc, Mexico"
United States,Independence,"Independence, United States"
United States,Oklahoma City,"Oklahoma City, United States"
Mexico,Miguel Hidalgo,"Miguel Hidalgo, Mexico"
Mexico,Ejidal,"Ejidal, Mexico"
Guatemala,Guanagazapa,"Guanagazapa, Guatemala"
United States,Huntington,"Huntington, United States"
Panama,Capira,"Capira, Panama"
Mexico,Loma Bonita,"Loma Bonita, Mexico"
Honduras,Jamalteca,"Jamalteca, Honduras"
Costa Rica,Chacarita,"Chacarita, Costa Rica"
United States,Boston,"Boston, United States"
Mexico,Guadalupe,"Guadalupe, Mexico"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
Nicaragua,Quezalguaque,"Quezalguaque, Nicaragua"
United States,New York City,"New York City, United States"
Honduras,Cucuyagua,"Cucuyagua, Honduras"
United States,Orlando,"Orlando, United States"
United States,Sacramento,"Sacramento, United States"
United States,Hartford,"Hartford, United States"
United States,Honolulu,"Honolulu, United States"
United States,Lansing,"Lansing, United States"
Mexico,Loma Bonita,"Loma Bonita, Mexico"
Mexico,Las Palmas,"Las Palmas, Mexico"
United States,Birmingham,"Birmingham, United States"
United States,Tampa,"Tampa, United States"
El Salvador,San Marcos,"San Marcos, El Salvador"
United States,Sacramento,"Sacramento, United States"
United States,Sacramento,"Sacramento, United States"
United States,Kissimmee,"Kissimmee, United States"
United States,Dallas,"Dallas, United States"
United States,Hartford,"Hartford, United States"
United States,Louisville,"Louisville, United States"
United States,Wilmington,"Wilmington, United States"
Honduras,La Guacamaya,"La Guacamaya, Honduras"
Guatemala,Morales,"Morales, Guatemala"
United States,Fort Worth,"Fort Worth, United States"
Honduras,Reitoca,"Reitoca, Honduras"
Nicaragua,Larreynaga,"Larreynaga, Nicaragua"
El Salvador,Ozatlán,"Ozatlán, El Salvador"
United States,El Paso,"El Paso, United States"
Guatemala,Champerico,"Champerico, Guatemala"
Mexico,Del Valle,"Del Valle, Mexico"
United States,Raleigh,"Raleigh, United States"
United States,Mesa,"Mesa, United States"
Guatemala,San Miguel Chicaj,"San Miguel Chicaj, Guatemala"
United States,Los Angeles,"Los Angeles, United States"
Nicaragua,Bluefields,"Bluefields, Nicaragua"
El Salvador,Ilopango,"Ilopango, El Salvador"
Guatemala,La Reforma,"La Reforma, Guatemala"
Costa Rica,Heredia,"Heredia, Costa Rica"
United States,Detroit,"Detroit, United States"
El Salvador,Quezaltepeque,"Quezaltepeque, El Salvador"
Guatemala,Nentón,"Nentón, Guatemala"
Costa Rica,Pejibaye,"Pejibaye, Costa Rica"
Mexico,Cuauhtemoc,"Cuauhtemoc, Mexico"
Guatemala,Cahabón,"Cahabón, Guatemala"
United States,Los Angeles,"Los Angeles, United States"
United States,Chandler,"Chandler, United States"
Mexico,Alvaro Obregon,"Alvaro Obregon, Mexico"
Mexico,Francisco I Madero,"Francisco I Madero, Mexico"
Mexico,La Loma,"La Loma, Mexico"
United States,Washington,"Washington, United States"
Honduras,San Marcos,"San Marcos, Honduras"
Honduras,Goascorán,"Goascorán, Honduras"
Mexico,Independencia,"Independencia, Mexico"
Nicaragua,La Paz Centro,"La Paz Centro, Nicaragua"
Guatemala,Mazatenango,"Mazatenango, Guatemala"
Mexico,Miguel Hidalgo,"Miguel Hidalgo, Mexico"
United States,Honolulu,"Honolulu, United States"
Guatemala,San Luis,"San Luis, Guatemala"
Honduras,Veracruz,"Veracruz, Honduras"
Mexico,Santa Maria,"Santa Maria, Mexico"
Costa Rica,La Fortuna,"La Fortuna, Costa Rica"
Honduras,Casa Quemada,"Casa Quemada, Honduras"
United States,Newark,"Newark, United States"
Mexico,Benito Juarez,"Benito Juarez, Mexico"
United States,Dallas,"Dallas, United States"
United States,Des Moines,"Des Moines, United States"
United States,Fort Lauderdale,"Fort Lauderdale, United States"
Guatemala,San Lucas Tolimán,"San Lucas Tolimán, Guatemala"
Honduras,San José,"San José, Honduras"
Mexico,20 de Noviembre,"20 de Noviembre, Mexico"
Spain,Almeria,"Almeria, Spain"
